dataset,kind,N,frac_alignn_metal,alignn_mean_eV,alignn_median_eV,ref_mean_eV,MAE_eV,RMSE_eV,pearson_r
v03_alex_pbe,crystal,31211,0.4504822017878312,1.2315514146216853,0.34322378039360046,1.2154368652077794,0.19391688754986716,0.4632132568507173,0.9596271069528591
v03_alex_mbj,crystal,31211,0.43856332703213613,1.568797831600022,0.25052425265312195,1.2154368652077794,0.7570500934013591,1.462185697907169,0.8077059883422828
v03_alex_opt,crystal,31211,0.5019384191470956,1.065406470105588,0.09542091935873032,1.2154368652077794,0.3565852444400336,0.7462841134044418,0.8982622833360615
v04_cccbdb,molecule,1330,0.008270676691729323,3.825576576299237,3.855446934700012,7.022901021711278,3.3647960891029176,7.930972330059189,0.2790485870382634
v05_interface,interface,587,0.044293015332197615,0.9531123036648792,0.8820000886917114,0.4662064735945485,0.5305865127118523,0.7173019281835833,0.5645165805838787
v06_surface,surface,487,0.26899383983572894,0.9745182300280986,0.5888949632644653,0.7842088295687886,0.5071923322169198,0.8900477989223025,0.6923579710583052
v07_vacancy,defect,470,0.5936170212765958,0.7298770112322366,0.023158743977546692,,,,
v08_supercon,supercon,4827,0.960638077480837,0.026757666480736946,0.003832876682281494,,,,
v09_1d,low_dim,9540,0.38448637316561846,0.9267423948068054,0.2467021942138672,1.0695986373165618,0.4849550183178497,0.7553746175866193,0.8726396335163065
v10_2d,low_dim,87903,0.3651752499914679,0.8632783656535458,0.27520790696144104,0.6735256703411716,0.4704278351975049,0.8373656261000771,0.7885776958132057
v11_alexwz,crystal,115535,0.654511619855455,0.6770255841412169,0.01453382521867752,0.6526246886224955,0.1678663822801112,0.47634235153954313,0.9326745338789697
v12_all,crystal,4444402,0.7089801957608696,,,,0.18510455681283358,0.5509859129535671,
