element,count,MAE,median_abs_err
D,16,5.636104191139533,5.464938458758454
Cl,193,3.9331469819146165,2.6595016787191454
C,880,3.5173505064620634,3.1580947120224696
N,316,3.3872365780573106,3.3358969731801285
H,931,3.3429777512156615,3.2241745145349787
F,181,3.2326330568174995,3.000124569904293
O,464,3.1785763969983676,3.1366884913337536
Se,17,3.1744520186323477,3.148901492088048
Ge,15,3.0123971802732745,3.1786296438024673
As,13,2.987216206463214,2.9410597751554572
Si,34,2.941619777401238,2.9203083503907656
P,47,2.846334190490657,2.7246847116214976
S,136,2.6406774829927393,2.7234129310147757
B,48,2.6261483041133538,2.2962614247093045
Zn,13,2.617637772545073,3.2481118857250095
Br,52,2.54418143943429,2.5964911772909085
Ga,11,2.1452399216622444,2.6010117044615564
Be,16,1.8280529362094962,1.419685495363308
Al,23,1.8087095300525897,1.6851766200743077
Ca,10,1.7181427877156294,1.76876115168601
Mg,16,1.6784539184241392,1.5374710588567821
Na,18,1.4695630928891779,1.1785182104586605
Li,22,1.170629356101692,0.8362573227480325
