element,count,MAE,median_abs_err
C,34,1.5662778960929198,1.3717190608978274
Be,205,1.0079250508891082,0.7091878471374509
Si,69,0.9786491207076156,0.7891574132919311
F,735,0.9503430032922218,0.7548518096923829
B,156,0.8774341200263073,0.7253482834815979
Ge,61,0.8450964230776811,0.7948485286712647
Sn,198,0.7888238377359178,0.7375619411468506
Zn,192,0.7779001875276368,0.740961277294159
Cl,731,0.7465303804011744,0.6171493789672855
La,142,0.7445201911947257,0.509334692120552
Br,163,0.7411363019184832,0.6513488689422609
Sb,119,0.7291666650847226,0.5550916194915771
Cs,77,0.7116094551070943,0.6833292243957519
Al,191,0.6976970557806379,0.5187590641021729
Rb,143,0.6938796762328049,0.6213692567825317
O,1071,0.6938696380767363,0.4947910259246826
Sr,174,0.6891290389147984,0.5950195808410644
Cd,197,0.6839401830523147,0.6443901666641236
In,636,0.6600107807548589,0.5384014653921128
I,719,0.6584518768876833,0.5437157663345338
Ag,357,0.6560423285413022,0.3564046531558037
Mg,197,0.6456987097062435,0.6118603137969973
Li,188,0.6436672600086699,0.5466786513328552
Ga,159,0.613037686902847,0.45750898780822746
Ca,189,0.6077951005708604,0.5301563882827758
Ba,170,0.5991324274990839,0.5054645376205444
Na,176,0.5942541345332156,0.4487845209121706
K,163,0.5902551598534994,0.4360879361629486
Ce,71,0.5883792953209139,0.3447733547210694
Zr,73,0.5310577819393106,0.38819576911926273
Sm,177,0.5225011964493889,0.3575346767902374
Sc,169,0.5141375501715574,0.38297971211671833
Nd,173,0.4865492386896486,0.3207158148288727
Y,162,0.4483767833642019,0.3224761003494263
Gd,157,0.43773936331792246,0.3064017079353333
S,1119,0.43586848866560823,0.2599070610046388
Tb,173,0.4331420354528235,0.27492570877075195
Cu,381,0.4206775888531696,0.1460685072183609
Te,983,0.37507197075153,0.17827548713684083
Se,978,0.37317092260942014,0.2207147582888603
Mo,136,0.3595716557021965,0.2303936091005802
Ti,243,0.34394414206618146,0.11366484866142272
N,1101,0.29708916365060345,0.13713603167533875
Mn,404,0.27712589190833936,0.04161572456359863
Ni,283,0.2766032174404013,0.05621489882469177
Pd,320,0.2625065963603463,0.1694197753190994
P,1087,0.260286224758233,0.10732826590538025
As,846,0.25115087655982793,0.08776190131902695
Eu,153,0.24021786902675446,0.04212389141321182
Rh,149,0.23409188059748418,0.10753575712442398
Cr,493,0.2272595391339451,0.06781087896823884
Fe,363,0.2262937277014426,0.038630202412605286
Co,278,0.2163496148630655,0.03675091825425625
Nb,333,0.21242224618134734,0.08818468517065048
V,467,0.2016340969688313,0.05510343032479286
Ru,196,0.18491110672865596,0.10312125713825226
