element,count,MAE,median_abs_err
C,442,1.087098097247519,0.6884987674713137
H,2250,0.8650690245923758,0.43107317829132086
F,7050,0.8538269765763972,0.5261005746841431
B,1315,0.8433689988858435,0.6086969375610352
Cs,1624,0.8123184233552257,0.4732671199798585
Cl,10850,0.7922979012017651,0.4969048904418947
Ce,1236,0.7782559242723445,0.26520153880119324
K,2723,0.749915197180374,0.38910047063827513
Be,2429,0.715337932704375,0.44186917228698697
Br,10812,0.7078945350219122,0.45527515459060686
Rb,2331,0.694433061368787,0.3740424807548523
Li,3777,0.6772910022247056,0.352380383491516
Si,1118,0.6764756657996364,0.4505797052145004
Sr,1648,0.6744457090849671,0.36485935328006747
Ca,1810,0.671754993360008,0.3696307727336883
O,3949,0.666855336225909,0.36808735408782955
Mg,2316,0.6511298453100322,0.37027222833633416
Na,3297,0.6496319769827469,0.34388360381126404
I,10641,0.6468789569527446,0.41652825474739075
Al,2859,0.5828371829003491,0.31323250827789306
La,1425,0.564331535784874,0.23275437951087952
Ge,1666,0.5640976484568108,0.3597949743270874
Ga,1856,0.5613604845133338,0.289690593457222
Ba,1582,0.5506256145521152,0.32262022943496727
Sm,1379,0.5489338519743769,0.3054131675243378
Pr,565,0.5171017232468065,0.12450528144836426
Pm,598,0.5149812200150461,0.09488099440932274
Zn,2525,0.5130206747321846,0.2612769836425781
S,6022,0.49852642128268115,0.2882733941078186
In,8657,0.4838962442720323,0.2193848192691803
Sb,2936,0.48081569267839946,0.2729454159617424
Y,1471,0.4733878786136571,0.22142836704254154
Nd,1512,0.4720483820024957,0.21735149012804023
Tb,1528,0.47057339535823667,0.17517042557001117
Cd,2834,0.4670776059956011,0.21913793256282804
Gd,774,0.4409103832538352,0.3213377480506897
Sc,1603,0.43656395631942313,0.192528635263443
Ag,7680,0.4358610619723188,0.24391017854213715
Sn,3476,0.4214796603695398,0.21007156488895415
Zr,1449,0.41772278933250717,0.1628321502685548
Se,13365,0.37673935649640944,0.22409036135673524
Pd,3261,0.3625388514339732,0.2635246217250824
Rh,1515,0.3175974800044436,0.15026026582717894
P,6984,0.3127654373025844,0.1357288584113121
Cu,6506,0.307273739132549,0.12004761397838593
Te,11555,0.3050846009073829,0.1346433162689209
N,5853,0.2786115329059092,0.08073906600475311
Mo,1677,0.2669466745876633,0.1015123724937439
Tc,321,0.24857794596888935,0.02917963027954107
Mn,4346,0.24800204807044351,0.06507516388893128
Ti,2484,0.24077183768511082,0.07898129003345966
Nb,3162,0.22186066001835295,0.08476396050453186
Cr,4555,0.20688351224337334,0.06671580672264099
As,11365,0.18827520332243153,0.047424666583538055
Ru,1556,0.18166524407238074,0.09633047133684158
V,3507,0.17099195478226356,0.047730714082717896
Eu,876,0.16973736286176938,0.05110465039014816
Ni,3907,0.16776554926259762,0.041416555643081665
Fe,3752,0.1372970802474354,0.043860284611582756
Co,3812,0.11021409418004381,0.03762929141521454
