element,count,MAE,median_abs_err
Np,2766,0.6916662772514438,0.09346538704037666
F,5450,0.6143432319005039,0.2262333570480346
Cl,4333,0.47013305838004893,0.2070508748292923
Cs,5251,0.4303794037623387,0.19760933189392094
Yb,1487,0.41974123682174097,0.014196940779685974
Rb,5211,0.4097783677447948,0.17459706962108612
Br,3381,0.3921915165136548,0.18013867735862732
K,5422,0.3603913951584402,0.13263676605224606
I,3082,0.34634150173700745,0.11701111869812009
O,17469,0.33517700928325633,0.12091192073822032
H,5180,0.33069318865204866,0.09318913218975045
Pa,3645,0.32975722110062716,0.017356157302856445
Na,4769,0.3239280270346695,0.10263717174530029
Ba,4930,0.29973299223256156,0.060161908340453873
S,8093,0.2773838780719934,0.07552606201171885
N,5825,0.2528127965710404,0.05930857825279234
Sr,4213,0.241434531258528,0.033822629737854104
Se,7530,0.23955419434026498,0.06512534618377686
Tl,5007,0.2385911664815953,0.028263280677795377
Te,5655,0.23536983062161904,0.08318161964416504
Cr,1602,0.23314912012745526,0.06240009626746178
Ac,4337,0.2238531268498749,0.02380344644188881
W,1189,0.21052963877859188,0.03330806922912588
Re,1317,0.1979870429481284,0.012051194000243903
Li,6082,0.19661850117246638,0.021894406527280807
Mo,1784,0.1911579211237452,0.029810034227371274
Ce,5152,0.18830067852939772,0.01081123948097229
Pu,4008,0.1881310337422486,0.011920444667339325
Ca,4245,0.185719005619423,0.017209507524967194
Pb,3548,0.17327645110171183,0.014621738344430923
Mn,3181,0.1610558264111656,0.017911896109580994
Bi,3365,0.16054915025634542,0.030063139274716377
V,2213,0.1501143053316876,0.020887830734253043
Hf,2509,0.14758687346982213,0.008781548589468002
Ag,4052,0.1470436808526494,0.015716586261987686
P,7108,0.14064132863505585,0.026248413228988632
Tc,2271,0.13987709291227873,0.008262723684310913
La,5019,0.1367703779654333,0.011630281805992126
Sb,4299,0.13385199175458312,0.027000024914741516
Ta,2030,0.13198429497488906,0.0119553804397583
As,4615,0.13128403926822374,0.024195794016122818
Fe,3361,0.1288040006907869,0.013395413756370544
Hg,3688,0.12490323650885835,0.008515303954482079
Gd,1665,0.12486055901575373,0.012522988021373749
U,3222,0.12439195513576916,0.017905808985233307
Pm,5052,0.12433478538516203,0.010944604873657227
Zr,2977,0.12331522216001212,0.012582704424858093
C,4451,0.1186997675211329,0.015468224883079529
Nb,2182,0.11720249873591222,0.012700341641902924
B,4056,0.11291943572970509,0.011815234196186075
Sn,4595,0.11101184876406868,0.012496769428253174
Sm,4966,0.10975760219697026,0.012091629207134247
Mg,4727,0.10497607936324872,0.008696007537841943
Sc,3895,0.10297629056213528,0.010298818349838257
Be,1843,0.10263250025448854,0.011750793457030895
Zn,5244,0.10114452085369682,0.009099490940570831
Pr,4847,0.09670548850936461,0.011725939810276031
Tb,5125,0.09641462282261441,0.009380817413330078
Tm,4627,0.09550297562568537,0.010145962238311768
Nd,4946,0.09483707818474924,0.011561816558241844
Cd,4148,0.09461604788257537,0.009022394195199013
Dy,5070,0.09395553596103333,0.01115105114877224
Y,4853,0.09251393624660148,0.01027020812034607
Er,4853,0.09250572875966098,0.010562777519226074
Ho,5006,0.09145414167105069,0.010581575334072113
Th,3931,0.08905603365648554,0.010241251438856125
Ti,2647,0.0886063758374409,0.009479433298110962
In,5193,0.08832295659363279,0.01006433367729187
Cu,5225,0.08823081763349139,0.01349031925201416
Co,4621,0.08574652096144089,0.009109437465667725
Lu,1438,0.0808600491038512,0.01141836866736412
Eu,1554,0.07507506150172176,0.017010480165481567
Os,2637,0.07146584470593369,0.010693136602640152
Al,5525,0.07072708661396256,0.00905824825167656
Au,4320,0.06625327387184593,0.007989071309566498
Ge,6892,0.06433914233526854,0.009697720408439636
Pt,6723,0.06384142749289237,0.007198408246040344
Ni,6343,0.06366818052283667,0.00891411304473877
Ga,6321,0.057879346304631665,0.00834491103887558
Ir,5233,0.055839038717322445,0.007878012955188751
Si,7319,0.053721188350669885,0.008088953793048859
Pd,7139,0.05166388364932729,0.006836410611867905
Rh,6988,0.049384915636557475,0.008095275610685349
Ru,4859,0.0372298624823683,0.007448822259902954
