element,count,MAE,median_abs_err
F,139632,0.8543399572372437,0.2877636253833771
Cs,125848,0.6731313467025757,0.26349353790283203
O,321221,0.6107230186462402,0.22109508514404297
Cl,197166,0.5936884880065918,0.22341547906398773
Rb,152916,0.5847025513648987,0.1723475456237793
Br,191595,0.524705171585083,0.20226049423217773
Np,49884,0.5130293369293213,0.03545897454023361
I,148588,0.5054815411567688,0.21107473969459534
S,207514,0.46920084953308105,0.1488957703113556
K,197344,0.4568782150745392,0.09229576587677002
Na,176470,0.404417484998703,0.05696955323219299
H,158026,0.377425879240036,0.05861353874206543
Se,255281,0.35545316338539124,0.10586310923099518
Ba,192175,0.30971771478652954,0.02489718794822693
Te,239223,0.2931287884712219,0.08823351562023163
B,98607,0.27501747012138367,0.025047898292541504
Sr,191226,0.2743481397628784,0.02102125808596611
N,191521,0.2716910243034363,0.06086418032646179
Li,270325,0.2555646300315857,0.018525853753089905
Ca,208539,0.2405616194009781,0.01696256548166275
P,207281,0.2341817170381546,0.04305124282836914
Yb,8897,0.23397649824619293,0.012193813920021057
Ac,150323,0.22456136345863342,0.010049112141132355
Tl,267655,0.2082022875547409,0.01390811800956726
C,114613,0.20680168271064758,0.03022027015686035
As,192904,0.1949879378080368,0.029152747243642807
Be,135859,0.1873822957277298,0.014276847243309021
Pa,83185,0.1651131808757782,0.012317605316638947
Pb,210966,0.16306743025779724,0.013260804116725922
Mg,249733,0.1629696935415268,0.010084643959999084
Ce,126033,0.15845097601413727,0.007882066071033478
Hf,109783,0.15636909008026123,0.011649422347545624
Sb,202954,0.15365466475486755,0.026990018784999847
Bi,145611,0.15346258878707886,0.01939854770898819
Ge,177464,0.1492871195077896,0.013418760150671005
Ag,244604,0.14274944365024567,0.012608837336301804
Si,195906,0.13565784692764282,0.014630869030952454
Sn,188753,0.13525740802288055,0.014781594276428223
Ga,221320,0.1328285187482834,0.01052209734916687
Al,228407,0.13110186159610748,0.010942790657281876
In,264256,0.12989971041679382,0.011269520968198776
V,104116,0.12732556462287903,0.014443978667259216
Cd,247271,0.12702897191047668,0.010758370161056519
Pu,96107,0.12616723775863647,0.009116768836975098
Hg,247765,0.12058523297309875,0.011302538216114044
Zn,252451,0.11770553141832352,0.010482996702194214
Mn,168902,0.11606337130069733,0.012966848909854889
Pm,189365,0.1081012710928917,0.00627734512090683
U,53076,0.10688328742980957,0.012797955423593521
Nb,96916,0.10572061687707901,0.013541318476200104
Pr,169920,0.10464545339345932,0.005971923470497131
Y,247765,0.10415473580360413,0.007739834487438202
Cr,135259,0.1029437854886055,0.015474915504455566
Er,159262,0.10283320397138596,0.006191680207848549
Th,109731,0.10280291736125946,0.006725326180458069
Dy,165416,0.1024390459060669,0.0059889815747737885
Zr,166987,0.10240311175584793,0.010904490947723389
Ho,163443,0.10199146717786789,0.0061637163162231445
Sc,223537,0.10188405215740204,0.009388722479343414
Ta,137413,0.10186205059289932,0.01199774444103241
Nd,170888,0.10146956890821457,0.0061731357127428055
Sm,169908,0.10067866742610931,0.006315046921372414
Tm,160323,0.10035045444965363,0.005618594586849213
Ti,116777,0.10016244649887085,0.012287229299545288
Mo,133079,0.09877362102270126,0.012365423142910004
Tb,169894,0.09702794253826141,0.005631066858768463
La,257968,0.0961417630314827,0.008102908730506897
W,124552,0.09178207069635391,0.012045230716466904
Au,242736,0.08958753198385239,0.009916236624121666
Cu,236858,0.08275987207889557,0.012423159554600716
Fe,163043,0.07988123595714569,0.012919113039970398
Tc,148676,0.0712779089808464,0.009030140936374664
Re,125687,0.0709906592965126,0.010079890489578247
Pt,232407,0.06781395524740219,0.009019806981086731
Ni,226107,0.06493480503559113,0.010253220796585083
Gd,34063,0.06456999480724335,0.0072860270738601685
Co,191695,0.06454672664403915,0.010656699538230896
Pd,226052,0.06329388916492462,0.008640706539154053
Os,150392,0.05414062365889549,0.012942969799041748
Lu,33803,0.053482212126255035,0.006934851408004761
Rh,228547,0.04888295382261276,0.009416364133358002
Ir,196250,0.04793904349207878,0.009766031056642532
Ru,178319,0.04574365168809891,0.010165318846702576
Eu,30063,0.03579767420887947,0.010874055325984955
