dataset,kind,arm,model,has_ref,N,MAE,RMSE,ME,pearson_r,pred_mean,ref_mean,pred_std
v03_alex,crystal,PBE,mp_e_form_alignn,True,48764,0.02869031659506271,0.06176544116631049,0.006902647350752302,0.9977794617345052,-1.2130181441136567,-1.2199207914644092,
v03_alex,crystal,OptB88vdW,jv_formation_energy_peratom_alignn,True,48764,0.11744553580195263,0.17572801846272823,0.07411228109508498,0.9868704864931636,-1.145808510369324,-1.2199207914644092,
v04_cccbdb,molecule,PBE,mp_e_form_alignn,False,1333,,,,,-0.4167424676253754,,0.6382190047931575
v04_cccbdb,molecule,OptB88vdW,jv_formation_energy_peratom_alignn,False,1333,,,,,0.19330875562128053,,0.773239802472867
v05_interface,interface,PBE,mp_e_form_alignn,False,587,,,,,-0.4715809139472256,,0.37527736562130315
v05_interface,interface,OptB88vdW,jv_formation_energy_peratom_alignn,False,587,,,,,-0.4420704099094238,,0.3533968653512094
v06_surface,surface,PBE,mp_e_form_alignn,False,487,,,,,-0.5570977657910979,,0.8197334046689223
v06_surface,surface,OptB88vdW,jv_formation_energy_peratom_alignn,False,487,,,,,-0.5349994020142594,,0.7841778875161884
v07_vacancy,defect,PBE,mp_e_form_alignn,False,470,,,,,-0.6165427127100052,,0.7866764542711444
v07_vacancy,defect,OptB88vdW,jv_formation_energy_peratom_alignn,False,470,,,,,-0.6119237648362809,,0.7566056452183418
v08_supercon,supercon,PBE,mp_e_form_alignn,False,4827,,,,,-0.4508151263214674,,0.41847481915382884
v08_supercon,supercon,OptB88vdW,jv_formation_energy_peratom_alignn,False,4827,,,,,-0.4483566764153282,,0.41292768280142955
v09_1d,low_dim,PBE,mp_e_form_alignn,True,9540,0.3307879255373612,0.4757249203914729,-0.26636421648255043,0.9375740677794898,-0.665218707580955,-0.39885449109840465,
v09_1d,low_dim,OptB88vdW,jv_formation_energy_peratom_alignn,True,9540,0.3143893284687138,0.3988090137827108,0.08993250544180366,0.9359035454685186,-0.30892198565660095,-0.39885449109840465,
v10_2d,low_dim,PBE,mp_e_form_alignn,True,87903,0.16490063843254432,0.23779985474721727,-0.14249689439549101,0.9771650025011581,-0.644614491797384,-0.5021175974018929,
v10_2d,low_dim,OptB88vdW,jv_formation_energy_peratom_alignn,True,87903,0.20130778131437224,0.267083308124685,-0.026345509304197816,0.9549951518406447,-0.5284631067060908,-0.5021175974018929,
v11_alexwz,crystal,PBE,mp_e_form_alignn,True,115535,0.035648457898571434,0.06670292949870067,0.010962813897338948,0.9972603734355575,-1.1181914820530034,-1.1291542959503422,
v11_alexwz,crystal,OptB88vdW,jv_formation_energy_peratom_alignn,True,115535,0.10222235149901301,0.1535439239801538,0.05206679319887052,0.9883067797117377,-1.077087502751472,-1.1291542959503422,
v12_all,crystal,PBE,mp_e_form_alignn,True,4489295,0.17100426434828764,0.2959515007912061,-0.15471810502889,0.9665648576308066,-0.40804326701031796,-0.25332516198142796,
v12_all,crystal,OptB88vdW,jv_formation_energy_peratom_alignn,True,4489295,0.14491064621852176,0.22224969237611036,-0.0860927256588224,0.9802270816960155,-0.3394178876402504,-0.25332516198142796,
