subset,N,MAE,RMSE,ME,med_abs_err,p90_abs_err,p95_abs_err,p99_abs_err,pearson_r,pred_mean,pred_median,ref_mean,ref_median
all,48764,0.02869031659506271,0.06176544116631049,0.006902647350752302,0.01580158284893031,0.06388174063705446,0.09104565755897505,0.19505711030915834,0.9977794617345052,-1.2130181441136567,-0.8717996180057526,-1.2199207914644092,-0.878337145
metal,28420,0.029651279572953385,0.05547015007816356,0.0067525088453280575,0.018437787061557756,0.06734130609075933,,,,,,,
non-metal,20344,0.027347878144824155,0.06961307393112201,0.007112386650995962,0.013708288329315144,0.057070871064453146,,,,,,,
bg:metal (=0),28420,0.029651279572953385,0.05547015007816356,0.0067525088453280575,0.018437787061557756,,,,,,,,
"bg:small (0,0.5]",2783,0.03654208830119214,0.08137537774884414,0.010239338902327252,0.017171876620483584,,,,,,,,
"bg:med  (0.5,1.5]",4910,0.029101396837739706,0.06951539452704278,0.008827789548590493,0.013822296489715447,,,,,,,,
"bg:wide (1.5,3.5]",7990,0.026676811948293924,0.06740241739676947,0.0072294345339617766,0.013662924522399922,,,,,,,,
bg:ultra (>3.5),4661,0.021161342050185477,0.06572003825053122,0.0032376497002255295,0.012627869802856573,,,,,,,,
card:1 elem,65,0.04089328004763678,0.09068482091665993,0.037907179502340474,0.009309068322181702,,,,,,,,
card:2 elem,3858,0.03307322301631929,0.07403693063143525,0.014573786140594987,0.012549803445997251,,,,,,,,
card:3 elem,29803,0.029214207696691342,0.05670047017136063,0.0067602830610363355,0.01631546297294617,,,,,,,,
card:4 elem,13955,0.02749582655529219,0.0695337169296331,0.005920342215394094,0.016377439193725696,,,,,,,,
card:5+ elem,1083,0.013319251410883649,0.031353405690659135,-0.0057100922159490615,0.011106030519103971,,,,,,,,
