element,count,MAE,med_abs_err
N,2725,0.054661687549178294,0.03203934629821781
Cr,1076,0.044350599902141505,0.015338347067260782
Tc,1187,0.043016385579592725,0.030772277877807674
Br,1900,0.03932316460827513,0.025348501934051526
Cl,2498,0.038901662454415085,0.018481252854919417
F,3445,0.03757642255029446,0.013657094088745048
Be,979,0.03725132659087817,0.01969154447784427
Pm,2875,0.03716328240503602,0.029184128936767584
Ce,2846,0.03687107750559889,0.026289734168701118
I,1830,0.036629984194616945,0.02311801800155644
C,2062,0.036028382275933364,0.021749992684936603
H,3299,0.03526228523232579,0.01992971868896465
La,2959,0.034299108025771054,0.02339795971374503
Eu,1032,0.03394834122087034,0.017248834117355394
Nb,1450,0.03070720932650887,0.016816857947616615
O,9576,0.029603809331857325,0.01405227825622557
Ru,2225,0.029339292509122976,0.020037116688690237
Cs,2924,0.029033301016069647,0.015604273641204813
Te,2696,0.028809811159791518,0.01699490433197015
S,3883,0.028507537440760313,0.01533017791137703
Rb,2879,0.028401670333590933,0.014129118038940458
Sc,2250,0.028324305616868356,0.017669017707824725
Rh,3563,0.028021084357829875,0.019403335870666505
Se,3440,0.027699831237445974,0.016484418550109847
Ti,1729,0.02763556478167681,0.015731988958740284
P,4166,0.027548949941096555,0.016256797616920435
Fe,1889,0.02740397106051787,0.014911227120628354
Li,3238,0.026659120384107775,0.014871710550308198
Zr,1813,0.026528467816540523,0.016484797336730916
Mo,1119,0.02644980387221581,0.014478532583465598
Zn,2800,0.026424164283953725,0.013858382828502686
Co,2428,0.02639119131699646,0.014373852810668969
Ba,2662,0.026344880951675587,0.01409450752105701
Pd,3611,0.025794478867622386,0.01789207292938233
As,2708,0.02558542107233287,0.01592326036289221
K,3138,0.02556420297579461,0.012428308867797944
Pr,2884,0.025377634810953432,0.01627464160232539
Mn,1981,0.025263334752688472,0.016130839566955546
Ni,3395,0.02506482382399214,0.013886923644104043
Ge,3476,0.024758857115232513,0.014943945271606418
Sr,2296,0.02457568549619381,0.01365293230743414
Si,3392,0.024143707107978356,0.014497757575988812
Ga,3126,0.024075856422734125,0.015328108438339233
Sb,2448,0.024008457919680808,0.015085085778808738
Sn,2580,0.023903387719025244,0.014567379638748212
Na,2779,0.023711579390168026,0.013504961624145384
Nd,2904,0.023684894553420988,0.01529545383785244
B,2111,0.023662245639751646,0.013973672280883864
Cd,2000,0.023464672606895654,0.014140221457595803
Cu,2952,0.023290450353978198,0.013788467823791395
Tb,2701,0.0232257032739409,0.015130754515533446
Ca,2315,0.023136118757779704,0.013117788373413153
V,1510,0.022964954657058872,0.01420490396423335
Sm,2846,0.02290735696730038,0.014444863653144846
Ag,2271,0.022665163739181964,0.01430365716213225
Y,2648,0.022583437374377156,0.014354177743568425
Al,2858,0.022254842903046804,0.014277861461639452
Mg,2477,0.02206400886886812,0.013487596469116347
In,2559,0.0205166008757394,0.013220458079223618
Gd,1117,0.020436790538904535,0.012518678232574465
