id,formula,pbe_pred,opt_pred,pbe_minus_opt
agm001231920,LaEuZn2,1.1293225288391113,-0.41820693016052246,1.5475294589996338
agm001232005,PrEuZn2,0.7124078869819641,-0.3798595666885376,1.0922674536705017
agm001231951,NdEuZn2,0.5813019871711731,-0.3837592303752899,0.965061217546463
agm005410664,Eu(MnGe)2,-0.34255915880203247,-1.208209753036499,0.8656505942344666
agm003232173,ClO2,-0.535804271697998,0.2954760789871216,-0.8312803506851196
agm003211534,EuVO4,-2.8359265327453613,-3.6189193725585938,0.7829928398132324
agm005543511,NF3,-0.9104378819465637,-0.13284644484519958,-0.7775914371013641
agm002169632,ClO2F,-0.8093093633651733,-0.043084241449832916,-0.7662251219153404
agm003231566,FeSO4,-2.05421781539917,-1.2905194759368896,-0.7636983394622803
agm005279378,NO2,-0.7727048993110657,-0.009040646255016327,-0.7636642530560493
agm003247361,SClO2F,-1.7611736059188843,-1.0072619915008545,-0.7539116144180298
agm003242462,Fe2(SO4)3,-2.0208890438079834,-1.2721116542816162,-0.7487773895263672
agm005545960,S5F,-0.9434026479721069,-0.20060622692108154,-0.7427964210510254
agm003219343,SCl2O,-1.2388147115707397,-0.5101034045219421,-0.7287113070487976
agm005848923,Pr(ClO4)3,-1.1370882987976074,-0.4090688228607178,-0.7280194759368896
agm005704712,NO2F,-1.0284826755523682,-0.30184406042099,-0.7266386151313782
agm003251572,SO3,-1.7636373043060303,-1.0375580787658691,-0.7260792255401611
agm003211653,MnSO4,-2.173114538192749,-1.456357717514038,-0.7167568206787109
agm005848915,Nd(ClO4)3,-1.1342575550079346,-0.42422935366630554,-0.710028201341629
agm002176638,MnO,-1.9960602521896362,-1.287326693534851,-0.7087335586547852
agm003231932,CoSO4,-1.8818751573562622,-1.1733697652816772,-0.708505392074585
agm005281484,EuMoO5,-1.9454563856124878,-2.6534042358398438,0.707947850227356
agm005505561,MnFe4O5,-1.7444589138031006,-1.04142165184021,-0.7030372619628906
agm005230213,Ti(NO3)4,-1.331749677658081,-0.6314994096755981,-0.7002502679824829
agm003241117,La(ClO4)3,-1.155400276184082,-0.4556332528591156,-0.6997670233249664
agm003276198,Tb2(SO4)3,-2.7876288890838623,-2.0884242057800293,-0.699204683303833
agm005786184,S5ClF,-0.8949623107910156,-0.19976451992988586,-0.6951977908611298
agm005848986,Tb(ClO4)3,-1.1269820928573608,-0.4318237900733948,-0.6951583027839661
agm003219567,SCl,-0.7857341170310974,-0.09122837334871292,-0.6945057436823845
agm003274181,FeO,-1.686347484588623,-0.993992269039154,-0.692355215549469
agm003206945,S(ClO)2,-1.3962231874465942,-0.7039305567741394,-0.6922926306724548
agm003244401,Co(NO3)2,-1.017735481262207,-0.32547083497047424,-0.6922646462917328
agm003226313,GaN5O14,-0.9987820386886597,-0.3108344078063965,-0.6879476308822632
agm005220234,BaMn5(SO4)6,-2.2871129512786865,-1.599278450012207,-0.6878345012664795
agm003241119,Sm(ClO4)3,-1.1261686086654663,-0.442990243434906,-0.6831783652305603
agm003227417,S4I2O15,-1.5850704908370972,-0.9095434546470642,-0.675527036190033
agm003241121,Fe2PClO4,-2.228447914123535,-1.553977370262146,-0.6744705438613892
agm003225797,S(OF)2,-2.1350677013397217,-1.461584448814392,-0.6734832525253296
