subset,N,MAE,RMSE,ME,med_abs_err,p90_abs_err,p95_abs_err,p99_abs_err,pearson_r,pred_mean,pred_median,ref_mean,ref_median
all,48764,0.11744553580195263,0.17572801846272823,0.07411228109508498,0.06452614248580929,0.31207824329681433,0.38299249055175777,0.5242434358146756,0.9868704864931636,-1.145808510369324,-0.8493483364582062,-1.2199207914644092,-0.878337145
metal,28420,0.061755355896630164,0.09746914662196746,0.01024032447158727,0.040285379810180655,0.13925896153747555,,,,,,,
non-metal,20344,0.19524316227212882,0.24647057013116536,0.16333962120714776,0.17193346066874501,0.39050626863555893,,,,,,,
bg:metal (=0),28420,0.061755355896630164,0.09746914662196746,0.01024032447158727,0.040285379810180655,,,,,,,,
"bg:small (0,0.5]",2783,0.13227794384169095,0.18463241558914548,0.07559227519268974,0.08945715779373165,,,,,,,,
"bg:med  (0.5,1.5]",4910,0.14738625589375937,0.20010041436244178,0.09304071116302862,0.09873887259674069,,,,,,,,
"bg:wide (1.5,3.5]",7990,0.21420295277783563,0.26304958428788466,0.19103196656469518,0.20419071401443467,,,,,,,,
bg:ultra (>3.5),4661,0.25075075443456285,0.28982458629717117,0.24231552184393335,0.24840994749450696,,,,,,,,
card:1 elem,65,0.024910295697358947,0.05608874269498032,0.0230405839589926,0.0056251659989356995,,,,,,,,
card:2 elem,3858,0.10497816038504222,0.17609225932468545,0.058076593187112044,0.04618376341167452,,,,,,,,
card:3 elem,29803,0.0966784778385611,0.14952492041598334,0.047601956664901135,0.05361661611785884,,,,,,,,
card:4 elem,13955,0.15291040126389646,0.21068940465805924,0.1195676368647979,0.1048954407824707,,,,,,,,
card:5+ elem,1083,0.2819167785782882,0.30420888888322395,0.27812248745633245,0.28448987401123027,,,,,,,,
