element,count,MAE,med_abs_err
Cl,2498,0.29221962730967344,0.2938274511650085
S,3883,0.2555862765754534,0.23147400879974356
O,9576,0.2454681648933052,0.23658412821845998
F,3445,0.22710350716969957,0.2066316261779786
Cs,2924,0.17388155007851255,0.13687113855361943
Cr,1076,0.17300209122835555,0.11037922413024903
H,3299,0.16900673924182558,0.11480417555862427
K,3138,0.166806712008536,0.13261682387695306
Na,2779,0.16271788477469348,0.1330845337310791
Rb,2879,0.1615111543536168,0.12229120761535645
P,4166,0.16083106986216558,0.0966705358482361
Mn,1981,0.160465567686106,0.09238365655921937
Fe,1889,0.1525924394326868,0.06016742525787366
N,2725,0.13500806990201134,0.07906359913192751
Nb,1450,0.13437062886123896,0.08358117934940337
I,1830,0.12935434610746993,0.07625022595367426
Eu,1032,0.12644128472701824,0.10140159015419009
Ba,2662,0.12237364850714798,0.08783011208992003
Mo,1119,0.12201372319031982,0.06044410953369139
B,2111,0.11747485315969253,0.07007916673362732
C,2062,0.11719420669016725,0.08432886587795257
Ag,2271,0.1158098623102869,0.057840315155792243
Sb,2448,0.11547648162212236,0.05958977736282345
V,1510,0.11349502699572749,0.06800687648635867
Sr,2296,0.11009573208106695,0.07367605459892274
Br,1900,0.10919589030658115,0.08167311445426945
Ca,2315,0.10873122649926582,0.07223991442108146
Li,3238,0.10872105863185613,0.064624977468071
As,2708,0.10832989865203492,0.06018243800804135
Ti,1729,0.10704999849864409,0.05506196130523677
Te,2696,0.10304230447462703,0.05323749865112304
Co,2428,0.10254984177455671,0.04913943223286629
Se,3440,0.09942063778262701,0.06241968700714118
Be,979,0.0985057494595762,0.0628072691993713
Cd,2000,0.09373405816285513,0.048281054615020774
Si,3392,0.09099681137450909,0.056060852167434616
Sn,2580,0.0909269284893896,0.047173739609451315
Tc,1187,0.09091045764274251,0.05367360118637077
Cu,2952,0.0902180241750909,0.04796507785903931
Ce,2846,0.08892076324942796,0.05841747368469241
Zr,1813,0.08734064037370873,0.04825407039466856
La,2959,0.0846920955752711,0.05114537514175416
In,2559,0.083955798037589,0.03813401324005117
Mg,2477,0.08372780690592574,0.0439155690605163
Gd,1117,0.08335372833876294,0.041348441178894024
Al,2858,0.08268678789251183,0.044401067832374574
Y,2648,0.08197250149203979,0.052896243529968245
Ge,3476,0.08096366662200376,0.04241865850479132
Zn,2800,0.0797425431078534,0.045835258767585735
Nd,2904,0.07915512593711865,0.04873894730934142
Ni,3395,0.07905149643752198,0.04245644559982298
Sc,2250,0.07848384376307695,0.04415312401237492
Pr,2884,0.0767189546374214,0.04673262151985169
Pm,2875,0.07622153644028815,0.045616682647857676
Sm,2846,0.07598491552776324,0.04731058102569574
Tb,2701,0.07472814459301311,0.04214644082794189
Ga,3126,0.07333909558804134,0.03416774500885003
Ru,2225,0.07281411340312512,0.04433452606582644
Rh,3563,0.06447474712909515,0.04277731842956539
Pd,3611,0.062064227636217474,0.038924070988922144
