subset,N,MAE,RMSE,ME,med_abs_err,p90_abs_err,p95_abs_err,p99_abs_err,pearson_r,pred_mean,pred_median,ref_mean,ref_median
all,87903,0.16490063843254432,0.23779985474721727,-0.14249689439549101,0.11827000687446593,0.3573563083042298,0.47086537098690734,0.8029461948603092,0.9771650025011581,-0.644614491797384,-0.41557252407073975,-0.5021175974018929,-0.29352415
metal,48542,0.20193451099851875,0.27884952155302883,-0.18923477565347305,0.15352677647590637,0.41760861182071934,,,,,,,
non-metal,39361,0.1192285711045412,0.17433768541862146,-0.08485734682238663,0.08130295583859252,0.27180488812408454,,,,,,,
bg:metal (=0),48542,0.20193451099851875,0.27884952155302883,-0.18923477565347305,0.15352677647590637,,,,,,,,
"bg:small (0,0.5]",13389,0.16197889277023442,0.2205417923773768,-0.14659454874116706,0.1252694656082154,,,,,,,,
"bg:med  (0.5,1.5]",10676,0.12004277752079545,0.16782612415381498,-0.09729653445150026,0.08621554187580492,,,,,,,,
"bg:wide (1.5,3.5]",10599,0.0836027681234269,0.12778977024428892,-0.03775886718864136,0.05562430546874997,,,,,,,,
bg:ultra (>3.5),4697,0.07590759203597269,0.12322420426101112,0.013120804759666144,0.04794456374664313,,,,,,,,
card:1 elem,300,0.4992255442219339,0.7670944190964835,-0.4774322023921391,0.2898854502380943,,,,,,,,
card:2 elem,43598,0.1974216091814024,0.28396221146058986,-0.169725625230261,0.13810009124916456,,,,,,,,
card:3 elem,43147,0.13101986131163257,0.17108684011338013,-0.11359235474108174,0.10380685298339842,,,,,,,,
card:4 elem,853,0.09970610204804162,0.13619007600206784,-0.09586643280366772,0.07303262099914543,,,,,,,,
card:5+ elem,5,0.028515743718124414,0.03867738727280661,-0.006728269061447195,0.013966274312706,,,,,,,,
