element,count,MAE,med_abs_err
Tc,321,0.4364198281418029,0.2048641434285736
Pr,565,0.2997723931727147,0.1304014150756836
Nd,1512,0.2701397675508199,0.19538021819290163
Pm,598,0.2661892223629886,0.10463222630310054
N,5853,0.2642009906301706,0.21661173246765142
Ru,1556,0.2565352181879977,0.18585554766147613
Tb,1528,0.25068897427285314,0.1637902647104645
Sm,1379,0.2501685055171098,0.1593586854248047
P,6984,0.2431332924793796,0.22103203599504473
La,1425,0.23492722700622046,0.176552772644043
Y,1471,0.2282673801804609,0.13813970097351058
Rh,1515,0.22207225684053114,0.17207125877838125
Ba,1582,0.22099090357647344,0.19254050217590335
Mo,1677,0.20995685593708452,0.14552585040241242
B,1315,0.20721373862638126,0.15975771478118894
C,442,0.20623560986685094,0.13796055818580621
H,2250,0.20493808335199468,0.1573341133106041
Eu,876,0.20328307086372902,0.17516073169517518
As,11365,0.20203041210043995,0.1786941680852127
Ce,1236,0.20187598491726325,0.1459101753936768
Sr,1648,0.19973969371832462,0.16766237975238804
Co,3812,0.19601515502147093,0.14750370160495757
Gd,774,0.1909245254685442,0.15693851825256333
Sc,1603,0.18566267510711706,0.11266527228088385
Pd,3261,0.18007930551412052,0.14608371033786774
Ni,3907,0.1755802893761436,0.1330653252738953
Ca,1810,0.1725602173585696,0.12368364094894402
Be,2429,0.17124021926846653,0.13851716989349366
Cr,4555,0.16683633524405853,0.12323729551307677
O,3949,0.16513895955451394,0.11617900240173329
Ti,2484,0.1648401950499606,0.10085780688369755
Nb,3162,0.16378162020572068,0.10028804261343002
Zr,1449,0.16343194551938334,0.08608906880874634
Fe,3752,0.16139113682383194,0.11034319095330429
Ga,1856,0.16045001341645138,0.1359719768935585
V,3507,0.1577661281855046,0.10393330838679886
Si,1118,0.15726481135392076,0.12873562933502203
Mg,2316,0.15602876012245612,0.1129803672122345
Cs,1624,0.15542461233970145,0.11680321658527376
Ge,1666,0.15301352562093853,0.13226826056971552
Al,2859,0.1525469809571074,0.1184957137908933
Mn,4346,0.15161797080680087,0.10888384425998683
In,8657,0.1503772510388699,0.12774828550949097
Rb,2331,0.1475125763380412,0.11827572504196168
Li,3777,0.14653696156134943,0.11422761238494872
K,2723,0.14570815915719357,0.11901202903015135
Na,3297,0.1390343443716758,0.11400608000183099
Ag,7680,0.13889818862657052,0.10864149376188278
Zn,2525,0.1312846092528995,0.09757271916656496
Cu,6506,0.13102526239789336,0.08914129226440431
S,6022,0.1301053995016097,0.10009193191223145
Te,11555,0.12899675914687106,0.09993521616439816
Cd,2834,0.12699428842237923,0.09709345917739876
Sb,2936,0.12658765850352544,0.09932299795028116
Sn,3476,0.1223632161774209,0.09715254126262672
Se,13365,0.11976569478826768,0.09410467182922355
F,7050,0.11387592198304468,0.07612127087631226
Br,10812,0.10740714735623842,0.0802406291137695
I,10641,0.1047670319951884,0.07420078761590271
Cl,10850,0.09652738567559274,0.06541735174865704
