subset,N,MAE,RMSE,ME,med_abs_err,p90_abs_err,p95_abs_err,p99_abs_err,pearson_r,pred_mean,pred_median,ref_mean,ref_median
all,87903,0.20130778131437224,0.267083308124685,-0.026345509304197816,0.15819015366220093,0.4172823325335503,0.5276325442330035,0.8231890374502193,0.9549951518406447,-0.5284631067060908,-0.32072287797927856,-0.5021175974018929,-0.29352415
metal,48542,0.20228834442752322,0.2696803198016211,-0.11195681312036315,0.16081766174527168,0.40816960018334586,,,,,,,
non-metal,39361,0.20009850069044058,0.2638453415353778,0.0792347328096788,0.1546924878973465,0.4277937936417198,,,,,,,
bg:metal (=0),48542,0.20228834442752322,0.2696803198016211,-0.11195681312036315,0.16081766174527168,,,,,,,,
"bg:small (0,0.5]",13389,0.19163289764099073,0.2443432894181526,-0.010630007101845446,0.15691186453781125,,,,,,,,
"bg:med  (0.5,1.5]",10676,0.1783844828986346,0.24088755069618734,0.0540496940621082,0.13377877255869863,,,,,,,,
"bg:wide (1.5,3.5]",10599,0.20556226716591147,0.27573113370548147,0.1491797407344343,0.15437796999588016,,,,,,,,
bg:ultra (>3.5),4697,0.2612554843610576,0.33125702360328463,0.23480793641836062,0.21219345094604503,,,,,,,,
card:1 elem,300,0.46462091734674665,0.6712382748367983,-0.35630901137323984,0.3035669913542652,,,,,,,,
card:2 elem,43598,0.23291727192592065,0.3081029791443313,-0.03417471201203997,0.18119001737247467,,,,,,,,
card:3 elem,43147,0.16854329159016165,0.21356286795261686,-0.01836854214915702,0.14016649423034672,,,,,,,,
card:4 elem,853,0.15033333449598163,0.18255352653102333,0.08495581919636033,0.13292083010025024,,,,,,,,
card:5+ elem,5,0.21453353623449703,0.24098788994124812,0.21453353623449703,0.19530137335416795,,,,,,,,
