element,count,MAE,med_abs_err
Tc,321,0.4465608957901786,0.29640394576034546
Cl,10850,0.313903095180523,0.2993776911930085
Pr,565,0.29803803588999533,0.20057710662231443
Pm,598,0.2911564046768811,0.19579962489852903
C,442,0.2906534331443482,0.2254630333564377
Eu,876,0.2853734985076305,0.2596618642230988
Sm,1379,0.26512479022111946,0.2104441214920043
La,1425,0.2649018742620305,0.22123963253250123
Tb,1528,0.2637925958923389,0.21042115477218615
Nd,1512,0.26200401967191433,0.2149467166297913
B,1315,0.25723618341899585,0.2103835056703186
Mo,1677,0.2554074506155126,0.18903781007232667
Y,1471,0.25460714907017523,0.2032614104858399
P,6984,0.24926576144255924,0.22928921946060182
Zr,1449,0.2372190809806116,0.17642579095230104
Ru,1556,0.23453098213453963,0.17668483982179262
Sc,1603,0.23252276109586328,0.18558905512084944
Ce,1236,0.23080392232820726,0.18723454933013906
S,6022,0.21840996657399492,0.19315406157588955
Co,3812,0.21819944939306724,0.17289407473439217
Nb,3162,0.21774236143401235,0.16250699111967087
Ti,2484,0.217575334590925,0.17130293238754268
Fe,3752,0.21656797195464006,0.1598380457579517
Gd,774,0.21579307471829728,0.1936969904609681
O,3949,0.21211225899636357,0.16530108004837035
V,3507,0.2087939985964466,0.1537914099443245
Rh,1515,0.2060895389598022,0.15953803221359253
As,11365,0.20549995606401925,0.18485438073411942
Al,2859,0.20483848614794978,0.17024881923818588
N,5853,0.2027322341398141,0.1609627860545349
Ba,1582,0.20151969488897006,0.1831341243659972
Sr,1648,0.19917355493052344,0.17924791907958987
Ca,1810,0.19801796758286933,0.17577140295242313
Ni,3907,0.19707430256977246,0.15875058576952514
Zn,2525,0.19597100966865436,0.156227226461792
Be,2429,0.1944378607449288,0.15065017902093888
Cr,4555,0.19403389099112256,0.14100253946228025
Mn,4346,0.19303314266723165,0.13425854195622444
Mg,2316,0.19297643675873516,0.16915811889694213
F,7050,0.19015995929994875,0.15878544201698291
Si,1118,0.1880787809748886,0.14094410423820497
Ga,1856,0.18676600569877344,0.15155751635974885
Sb,2936,0.18620434589321389,0.1440875649885845
H,2250,0.18582944172294422,0.14248063493190766
Pd,3261,0.18579579168979196,0.1530209852233888
Cs,1624,0.17928099894794847,0.15711807497940067
Ge,1666,0.17679205147082588,0.13635599867946624
Li,3777,0.17108162869280474,0.1469306449264527
Sn,3476,0.17015050774032814,0.14763112825852395
Cd,2834,0.16996597460497073,0.1417582987735977
Cu,6506,0.169128744046486,0.13456498304575348
Ag,7680,0.16766903034059677,0.14432838505615236
Rb,2331,0.16229097450252866,0.1438552393204689
K,2723,0.16052268471707568,0.13769919450689316
In,8657,0.15959132571257206,0.13971705183790206
I,10641,0.1584469305157093,0.10546149360809332
Na,3297,0.15795702602275544,0.13965937124938965
Br,10812,0.14916109180466852,0.1083756557222252
Te,11555,0.13251110313491288,0.10396684381677629
Se,13365,0.1313749520699686,0.10590370991668707
