subset,N,MAE,RMSE,ME,med_abs_err,p90_abs_err,p95_abs_err,p99_abs_err,pearson_r,pred_mean,pred_median,ref_mean,ref_median
all,115535,0.035648457898571434,0.06670292949870067,0.010962813897338948,0.019178028305053774,0.08182582527221675,0.11905912401306126,0.25272234096703894,0.9972603734355575,-1.1181914820530034,-0.7923258543014526,-1.1291542959503422,-0.8048881
metal,79214,0.037446079403818826,0.06572731129747326,0.012607212927323254,0.021724077029113775,0.08566404360348888,,,,,,,
non-metal,36321,0.031727949379624615,0.06878271208371811,0.007376474733737267,0.015336675828552249,0.07142329247283952,,,,,,,
bg:metal (=0),79214,0.037446079403818826,0.06572731129747326,0.012607212927323254,0.021724077029113775,,,,,,,,
"bg:small (0,0.5]",6286,0.046007459761634936,0.08565108774388706,-0.0028091033467199968,0.02303566577529903,,,,,,,,
"bg:med  (0.5,1.5]",9350,0.0347522796501312,0.07330249979242738,0.013105565491171397,0.016229329381561297,,,,,,,,
"bg:wide (1.5,3.5]",13659,0.02777427091235956,0.061289475082231544,0.00897924940028537,0.014220623483276462,,,,,,,,
bg:ultra (>3.5),7026,0.022613916344301505,0.058656429009895227,0.005749268081497684,0.013532146530151445,,,,,,,,
card:1 elem,89,0.03403572135427025,0.07919079075795082,0.031216134683469707,0.007079273462295532,,,,,,,,
card:2 elem,7245,0.0363858689632539,0.07947711672717798,0.015316028148617279,0.013600619839706451,,,,,,,,
card:3 elem,71962,0.035424884420931654,0.06451620790992177,0.01142745492370708,0.019275030836639423,,,,,,,,
card:4 elem,34834,0.0368515472875933,0.06921776510528262,0.009685200404783736,0.021110468955230666,,,,,,,,
card:5+ elem,1405,0.0135711406099903,0.03044318169102394,-0.004890347626014862,0.011078142172241456,,,,,,,,
