element,count,MAE,med_abs_err
Np,2766,0.1226719288466664,0.09921318325489048
Pu,4008,0.10093913125183367,0.06516162363998407
Pa,3645,0.06768467250141903,0.054015431271362324
Th,3931,0.06563163899191139,0.04676054765625004
N,5825,0.06347833571919881,0.04370974094848634
Ac,4337,0.04619102449523704,0.036776423994445806
Be,1843,0.045510252129535696,0.02764219907360077
Pt,6723,0.04540221419136512,0.025594915167923005
H,5180,0.04475898945568471,0.026834985359191932
F,5450,0.04428068375565045,0.0165803638687132
Tc,2271,0.04412844309392049,0.030970033222961435
Yb,1487,0.04332633336630659,0.02625942593475339
U,3222,0.04253996825747071,0.02345523780464176
Cr,1602,0.0422779367585754,0.016308357274627705
Cl,4333,0.04182055524850281,0.021134938829040495
Br,3381,0.04165125519147487,0.026559191018676653
I,3082,0.04048475455247006,0.024756165262985297
C,4451,0.04045097116800501,0.02653759235153197
Ce,5152,0.04015039688147973,0.027255050189208985
Ir,5233,0.03991994778674869,0.022735843144226164
Os,2637,0.03824697521488499,0.02362846926452633
Pm,5052,0.038127093904140534,0.029100167577056857
Bi,3365,0.03758698372379186,0.020128461349487203
Ru,4859,0.03750370257116354,0.023795145722961486
La,5019,0.037424964827807036,0.027084252905273498
P,7108,0.03691347474496811,0.020407806095886105
Cs,5251,0.03564335314551341,0.01873612769927968
Fe,3361,0.03561590606863656,0.017875199508667006
Pb,3548,0.03557976583255007,0.021472086612548846
Pd,7139,0.035296169111284484,0.019956659677124067
Rh,6988,0.03508292233546401,0.02080188731353766
Te,5655,0.03503842078902095,0.02064448161895749
S,8093,0.03488329951672695,0.019308548065185338
O,17469,0.03485419151609209,0.015462353016662655
As,4615,0.03472381977196428,0.020683160980224713
Se,7530,0.03433643906830633,0.020204120128631542
Nb,2182,0.034198240111206916,0.02044867501859665
Re,1317,0.03407626408095401,0.021165963399734478
Ta,2030,0.033594736039883014,0.018601010163116494
Rb,5211,0.03339593820336802,0.016609431283569176
Co,4621,0.03306941195109685,0.017224462849349975
Si,7319,0.03289974560975277,0.017272471143493617
Eu,1554,0.032798052543748055,0.01792773110240939
Mn,3181,0.03258501652967578,0.018468619036865253
Ge,6892,0.03245933795959345,0.018675180552368165
Hf,2509,0.032307651138894014,0.020013068727645855
Au,4320,0.031907218180399516,0.018325415394897487
Ba,4930,0.03139748813902679,0.016118172352600046
Hg,3688,0.031190916753532864,0.015613948748779305
Li,6082,0.031144587033646875,0.01663126235275264
B,4056,0.03099628648429195,0.016547499953041056
Sc,3895,0.030913259571722237,0.019390835031127818
Ni,6343,0.030859446180260583,0.016126329931335448
Sb,4299,0.030533141102894054,0.017597697467803985
W,1189,0.030385819420733918,0.018962556289673138
K,5422,0.030054024940155702,0.01467286138458257
Ga,6321,0.02968611127022008,0.017810879464569107
Sr,4213,0.02962323758571552,0.015360501773071356
Sn,4595,0.029498260774435934,0.01745847131599426
Na,4769,0.029456486584901263,0.015490069784545923
Zr,2977,0.029336904973817343,0.018527563135986358
Ti,2647,0.029197868055049207,0.01768019854461672
Mo,1784,0.028793836513412358,0.015529665596008324
Tl,5007,0.028733861185844863,0.01692753711029049
Zn,5244,0.028251053092120223,0.015139015587425225
Al,5525,0.027766547928659534,0.017299588543701172
Pr,4847,0.027476351831526732,0.0175047011260987
Tm,4627,0.027418773431650542,0.01702773680114744
Ca,4245,0.02700828085399746,0.015038315123443613
Cd,4148,0.026647666648486185,0.014818443076248161
Cu,5225,0.026499322398311896,0.015227237224197387
Ho,5006,0.02593328792235908,0.015560200063400254
Nd,4946,0.025903188279346324,0.016406777490234392
Dy,5070,0.025837479116072055,0.015862137507247936
Er,4853,0.025752213797624462,0.015750788188171327
Tb,5125,0.025594944871151555,0.016033414688873315
Sm,4966,0.025561153626338158,0.01582100899658212
V,2213,0.025505131497041738,0.015384936434936769
Y,4853,0.025443351743128423,0.01563122096557601
In,5193,0.025231945200565643,0.014753418717956546
Ag,4052,0.025129185848192126,0.014363056319045928
Mg,4727,0.024138890596101078,0.014303500662536633
Gd,1665,0.02231753501753627,0.014052704286193762
Lu,1438,0.021909288440580404,0.012891361094512832
