subset,N,MAE,RMSE,ME,med_abs_err,p90_abs_err,p95_abs_err,p99_abs_err,pearson_r,pred_mean,pred_median,ref_mean,ref_median
all,115535,0.10222235149901301,0.1535439239801538,0.05206679319887052,0.058014970825195356,0.2703299725964358,0.3465633999087524,0.48842283008689885,0.9883067797117377,-1.077087502751472,-0.7953348159790039,-1.1291542959503422,-0.8048881
metal,79214,0.06354326523855745,0.09497843879565364,0.006252580227177599,0.04249356145889288,0.14621511820642072,,,,,,,
non-metal,36321,0.18657920122880373,0.23519988286821827,0.15198494155215603,0.1640195655044554,0.37915311392211937,,,,,,,
bg:metal (=0),79214,0.06354326523855745,0.09497843879565364,0.006252580227177599,0.04249356145889288,,,,,,,,
"bg:small (0,0.5]",6286,0.12985029613081978,0.17644255240174903,0.06176890113275938,0.09075980140457152,,,,,,,,
"bg:med  (0.5,1.5]",9350,0.14847786652022754,0.19621362164160458,0.09925358986866915,0.10575693310295106,,,,,,,,
"bg:wide (1.5,3.5]",13659,0.20817506617536546,0.2539189033650064,0.18588794085060065,0.19675175561981195,,,,,,,,
bg:ultra (>3.5),7026,0.24605364723877057,0.2855547895102291,0.2369628949964308,0.2449491894302367,,,,,,,,
card:1 elem,89,0.031012091994955297,0.07206815340531379,0.013195111091887013,0.005374498665332794,,,,,,,,
card:2 elem,7245,0.09367114007846382,0.15715798212440993,0.04063300299015373,0.04458844634902953,,,,,,,,
card:3 elem,71962,0.08541720213037281,0.13211555305197584,0.03244577183018862,0.04888586694839475,,,,,,,,
card:4 elem,34834,0.13215156961957372,0.1829716600354058,0.08649965681925892,0.08782762729568488,,,,,,,,
card:5+ elem,1405,0.26953125875325973,0.29486981287012975,0.26475786661534895,0.2743597315826416,,,,,,,,
