element,count,MAE,med_abs_err
Cl,4333,0.29562078292371075,0.3009666698890685
S,8093,0.23254795595555314,0.21044275064086904
O,17469,0.228696039006783,0.21525956770324717
F,5450,0.2277130591863151,0.21174260242080667
Cs,5251,0.1648673268976739,0.12637211504821777
K,5422,0.15893997408224939,0.1261390142528534
Cr,1602,0.15612031795762218,0.09803770431671155
Rb,5211,0.15372271018074476,0.11694792118453978
H,5180,0.15176124127392743,0.10375680323944092
Na,4769,0.14975663401761338,0.11767329958648687
Np,2766,0.14664214447089718,0.11894665537483218
P,7108,0.1402309783492523,0.08116673043727873
Mn,3181,0.13996848186299812,0.08057310476074214
I,3082,0.12316620534918192,0.07454030439216619
Eu,1554,0.12102156312495602,0.0966795493141937
Fe,3361,0.12099242856263485,0.047551739417572014
U,3222,0.12078158441438931,0.0906491191890717
Nb,2182,0.1202783302948693,0.0728968726289749
Ba,4930,0.11674827516590976,0.08778123385200493
Tl,5007,0.11497499936969434,0.052231788460617073
Ta,2030,0.11305931735913198,0.06956431205123909
Pu,4008,0.1121340884496949,0.10043777139926921
N,5825,0.10994930419848134,0.06504781652832037
Bi,3365,0.10918509280320571,0.061674713501129186
Sr,4213,0.10883374643156803,0.07630372653656003
Mo,1784,0.10742632100149169,0.052372490298461916
Hg,3688,0.10701973171634831,0.0732919539000702
Re,1317,0.10665365709069556,0.050482033705825824
C,4451,0.10327679730727073,0.07566235485000616
Br,3381,0.10327433623419846,0.07427170301971442
Pb,3548,0.10314033975628073,0.05056329419921876
V,2213,0.10209323297504648,0.05587947796554571
Ag,4052,0.1018613705156648,0.05198273233051301
As,4615,0.1016780964023657,0.0585685770179748
Ca,4245,0.10070828256274274,0.06917091521301266
Pa,3645,0.10066146711126571,0.07369873930664061
W,1189,0.10009353797402787,0.06704169482543942
Yb,1487,0.09944773398306238,0.06247011786193846
Sb,4299,0.09910998829880113,0.050864011739501946
Se,7530,0.09777606157014185,0.06583094902114872
Ti,2647,0.09689051413365386,0.0499128939041138
Te,5655,0.09634935014096181,0.051251441157531774
Li,6082,0.0951463993819301,0.06033700209777834
B,4056,0.09472125235671752,0.052016566389312735
Be,1843,0.08880005692580906,0.06123352053756714
Co,4621,0.08533024172919582,0.04479475884056089
Cu,5225,0.08458972820935581,0.04589420828781132
Os,2637,0.08443591963628709,0.055002420578003086
Ce,5152,0.08416670174354537,0.05708195572967534
Tc,2271,0.08108482515761527,0.049058425575256415
Cd,4148,0.08073925938117911,0.04532470190196988
Sn,4595,0.08025678248414882,0.04305013738449098
Y,4853,0.08019239889211,0.05547856975257873
Zr,2977,0.07870719537060263,0.045654295819549495
Hf,2509,0.07855272428974949,0.04291237676773069
La,5019,0.07747112215461958,0.047862786685180625
Si,7319,0.07738583069158998,0.05182686736679076
Ac,4337,0.07650143597833411,0.044178119426727336
Ir,5233,0.07635547862247492,0.055760083325958276
Sc,3895,0.07481201367134649,0.045908507507629426
Gd,1665,0.07433027077681514,0.03965157590484625
Nd,4946,0.07421532184591487,0.047582028052749525
Er,4853,0.07365375498693834,0.04420390019836429
Ho,5006,0.0731231016201101,0.04577908160419461
Dy,5070,0.07264329712786295,0.04545296518035888
Pr,4847,0.07260158985242968,0.04669463953094488
Tb,5125,0.07253869820919888,0.04464693780212414
Pm,5052,0.07195917546213498,0.04531314923072821
Mg,4727,0.07194891563009417,0.04194198154754636
Sm,4966,0.07178777802036357,0.04706497180595404
In,5193,0.07168057018452723,0.03534677386535645
Ni,6343,0.07113329031286145,0.04215511458587651
Lu,1438,0.07104979092747918,0.04080450373168942
Tm,4627,0.07082771180520904,0.04158919752059942
Ge,6892,0.07038944992346143,0.038150067836952184
Th,3931,0.06942398267629267,0.04373983506164558
Au,4320,0.06820544797805524,0.045624084425888056
Zn,5244,0.06772750206999575,0.04190433186283116
Al,5525,0.06732371547944987,0.037691090422058204
Ru,4859,0.06441284034440625,0.04226977126075743
Pt,6723,0.061888465175034824,0.04109353421020501
Rh,6988,0.06132754823352371,0.0423392641906738
Ga,6321,0.06051556377844468,0.03112705389404291
Pd,7139,0.057803720401389765,0.03794646265060431
