subset,N,MAE,RMSE,ME,med_abs_err,p90_abs_err,p95_abs_err,p99_abs_err,pearson_r,pred_mean,pred_median,ref_mean,ref_median
all,4489295,0.17100426434828764,0.2959515007912061,-0.15471810502889,0.08555004013324738,0.43720649704040543,0.6724430009215236,1.200727803191635,0.9665648576308066,-0.40804326701031796,-0.2460784912109375,-0.25332516198142796,-0.1453432
metal,4095214,0.1810157822955525,0.3076942339593408,-0.1658410878182976,0.09286993136901858,0.46479018972346503,,,,,,,
non-metal,394081,0.0669664942987547,0.11800624039135661,-0.03913020599051651,0.03499093920898444,0.16327004231567388,,,,,,,
bg:metal (=0),4095214,0.1810157822955525,0.3076942339593408,-0.1658410878182976,0.09286993136901858,,,,,,,,
"bg:small (0,0.5]",127374,0.10342925085029339,0.1631482862133466,-0.08026740430817456,0.06499671714630129,,,,,,,,
"bg:med  (0.5,1.5]",111430,0.06460302166457325,0.10850379296437418,-0.03479466236604812,0.03693406563301099,,,,,,,,
"bg:wide (1.5,3.5]",118206,0.04155165701409507,0.0737582292503354,-0.010180566899250407,0.023862790785217358,,,,,,,,
bg:ultra (>3.5),37071,0.0298253559076035,0.06199052198384103,-0.003126892510527961,0.017621069265747025,,,,,,,,
hull:on hull (=0),115535,0.035648458013939836,0.0667029294912108,0.010962813730122473,0.019178028305053774,,,,,,,,
"hull:near (0,0.1]",1339487,0.042423684719070924,0.06205172601879987,-0.020070599047883372,0.029854360526000975,,,,,,,,
"hull:off (0.1,0.5]",1866463,0.11345128500937846,0.14060976625644886,-0.09977998959731813,0.09807487222948837,,,,,,,,
hull:far-off (>0.5),1167810,0.42386290952727956,0.5479480436766052,-0.4133564867310164,0.3394366721944713,,,,,,,,
card:1 elem,1736,0.2279873105343493,0.457624509998645,-0.1897207145020129,0.06448531923927307,,,,,,,,
card:2 elem,241025,0.15474029383960414,0.2753613522672445,-0.13239414268187044,0.07993718905609132,,,,,,,,
card:3 elem,2963909,0.160651641385312,0.27161744607283955,-0.14494410093516016,0.09036712912504197,,,,,,,,
card:4 elem,1267662,0.19945304723595342,0.35049771800899077,-0.18292294046692228,0.07588132933097835,,,,,,,,
card:5+ elem,14963,0.06687356089996283,0.10663923224236373,-0.056805192714548834,0.027772670938110533,,,,,,,,
