element,count,MAE,med_abs_err
W,124552,0.32838469715887386,0.1844252907446289
N,191521,0.32211775336403015,0.18990004292907714
Re,125687,0.31663017651237896,0.17346751316680908
C,114613,0.3158508573420289,0.18019888343048107
B,98607,0.3026115912857349,0.17735191967567443
I,148588,0.28926552303814007,0.17154184376525883
Os,150392,0.2823981156858308,0.14169311481468203
Mo,133079,0.2796619818728432,0.1588322561883545
Ta,137413,0.2772560481862158,0.15750442521343233
Nb,96916,0.2765361613096733,0.13284287104548645
Hf,109783,0.2721059219252029,0.13661038460479735
Tc,148676,0.25847152952125146,0.14041412977653506
P,207281,0.2558251251814483,0.14808624140472404
F,139632,0.24575328143189085,0.1222480922439575
Cr,135259,0.2384978529112686,0.130453760786438
V,104116,0.23816560422531596,0.11951169133255003
Be,135859,0.2363866811892329,0.14242987637191773
Ti,116777,0.2328381459461175,0.11700877865295412
Br,191595,0.22701112041995342,0.14330521048049927
Ru,178319,0.21923294034267785,0.11513276127700806
S,207514,0.21401016678331639,0.09661811094726569
Sb,202954,0.2126365386584742,0.11029313625106807
Cl,197166,0.21219617257861986,0.12490643714870453
As,192904,0.211958965513497,0.11487397888092041
Zr,166987,0.21136534510659466,0.11442249230487825
Ir,196250,0.2101908376326196,0.10278106974319458
Rb,152916,0.20572526750648332,0.09708492004928598
Te,239223,0.20563065244781248,0.10247828042907714
H,158026,0.20273343243636957,0.11812815857637404
K,197344,0.1929249393397393,0.10339305415329554
Ba,192175,0.19164908397516708,0.1017169748374939
Cs,125848,0.18938684056070215,0.0906545086257935
Bi,145611,0.18820599084161316,0.08708659753417969
Se,255281,0.18675429253662093,0.0907332552027893
Mn,168902,0.18670665380942114,0.0966431518111515
Sr,191226,0.18653147119476102,0.09451970086105349
Fe,163043,0.18642803016571066,0.10026480436302185
Si,195906,0.18261189738775768,0.10083331165504456
Rh,228547,0.17740893064898072,0.09115302878723153
Co,191695,0.17679497060186958,0.09303483201700592
Pt,232407,0.1748544434679435,0.08787672222637176
O,321221,0.16904984314357346,0.08014058542175295
Np,49884,0.16867389255607892,0.1455995414072647
Ca,208539,0.16500527765085854,0.07830106450013352
Ge,177464,0.1642156898754119,0.0809903990363312
Sc,223537,0.16122640107981379,0.08852362497707367
Sn,188753,0.15843429360847353,0.07392923195190448
Y,247765,0.15802954356547394,0.07846653044754026
Na,176470,0.15635800097707686,0.07241163582534793
Ni,226107,0.15608869141914541,0.07772602474433898
Pb,210966,0.15524144633163628,0.07822621449394225
Pd,226052,0.15433278037392337,0.07382257946662904
Au,242736,0.1535474809028634,0.0790247567583084
Al,228407,0.15331893771127,0.08108114749900819
Ag,244604,0.14530006397612488,0.07182420690994273
La,257968,0.14232681173914832,0.06494046663467407
Cu,236858,0.13885474599961226,0.06744670154039764
Mg,249733,0.13757285615299863,0.063487171640625
In,264256,0.13570765950784286,0.06969488303956986
Cd,247271,0.13551740312539765,0.06638246347610474
Ga,221320,0.13469506181822438,0.06564835952133179
Hg,247765,0.1335106822421627,0.06453189034591672
Zn,252451,0.130992492513189,0.0671112225484848
Tl,267655,0.13075569129418474,0.0657625548803711
Li,270325,0.12617886083747137,0.06738683530426037
Pa,83185,0.10222244095284294,0.07482052737045297
Pu,96107,0.09651687073216202,0.06432882317874145
U,53076,0.09360661526473316,0.06209219579597475
Th,109731,0.08615474234792268,0.057439107192993166
Eu,30063,0.08209710301467864,0.05274839741516102
Ce,126033,0.08122757110387283,0.053601635693359295
Er,159262,0.07921049237860546,0.04527457181640626
Ho,163443,0.07897442111450008,0.04515633436767577
Tm,160323,0.07832024800908892,0.044103069106521606
Tb,169894,0.0781495472323078,0.04471491078147882
Dy,165416,0.07813615886160843,0.044857515407943735
Ac,150323,0.07796432183585138,0.047601449301147625
Sm,169908,0.07726854516324384,0.04542332157562255
Yb,8897,0.076138445317098,0.04716909680175785
Pr,169920,0.07593005282263166,0.0453241696624756
Nd,170888,0.0757744006873794,0.0448111481355668
Pm,189365,0.07432990359960065,0.045462768712348944
Lu,33803,0.07178867160389055,0.04467208682510375
Gd,34063,0.06880677931426889,0.04229399518127441
