subset,N,MAE,RMSE,ME,med_abs_err,p90_abs_err,p95_abs_err,p99_abs_err,pearson_r,pred_mean,pred_median,ref_mean,ref_median
all,4489295,0.14491064621852176,0.22224969237611036,-0.0860927256588224,0.09240364827804559,0.3284795902183381,0.4648901357044829,0.8454567621304304,0.9802270816960155,-0.3394178876402504,-0.2127152979373932,-0.25332516198142796,-0.1453432
metal,4095214,0.14336598523855915,0.2240479389955767,-0.10344681700490346,0.08927969196364402,0.3276918766134053,,,,,,,
non-metal,394081,0.16096246620069882,0.20262020409035417,0.09424765572914129,0.1332915214050292,0.3321433024332428,,,,,,,
bg:metal (=0),4095214,0.14336598523855915,0.2240479389955767,-0.10344681700490346,0.08927969196364402,,,,,,,,
"bg:small (0,0.5]",127374,0.1451012544651485,0.1853618151449633,0.033857250980437854,0.11900940455038071,,,,,,,,
"bg:med  (0.5,1.5]",111430,0.148701184572235,0.18928389064273188,0.08543187277264108,0.11769046477409362,,,,,,,,
"bg:wide (1.5,3.5]",118206,0.17553762164879383,0.21771746263984473,0.13927230690675754,0.15275319111862184,,,,,,,,
bg:ultra (>3.5),37071,0.20584147595404262,0.24400244925256628,0.1846775387159197,0.1894241279067992,,,,,,,,
hull:on hull (=0),115535,0.10222235163192207,0.153543924072715,0.052066793081374026,0.058014970825195356,,,,,,,,
"hull:near (0,0.1]",1339487,0.08151169897285664,0.1158838555742731,-0.0022834753611758805,0.056807922587585435,,,,,,,,
"hull:off (0.1,0.5]",1866463,0.10793782476634808,0.13630230268718044,-0.056902376051374125,0.09074813172225948,,,,,,,,
hull:far-off (>0.5),1167810,0.28094515612202076,0.3774325581838309,-0.24254486149466786,0.21298627361297612,,,,,,,,
card:1 elem,1736,0.18237491900862676,0.3423974359353825,-0.11521354354434953,0.06552729654611587,,,,,,,,
card:2 elem,241025,0.13741715906172997,0.2226689940207329,-0.08240054411269711,0.07917519947206497,,,,,,,,
card:3 elem,2963909,0.13472122645017445,0.20776213793038364,-0.08824068861241002,0.08714195531082158,,,,,,,,
card:4 elem,1267662,0.16974231607750745,0.2527189118938813,-0.08428687592919126,0.1090454535700226,,,,,,,,
card:5+ elem,14963,0.17588227248346625,0.21559097120626072,0.1302947188734179,0.15547043508651737,,,,,,,,
