element,count,MAE,med_abs_err
W,124552,0.3014997277503149,0.21223798873107907
C,114613,0.25260373620198134,0.1880125670316315
B,98607,0.23846558027409762,0.17011153802185064
Re,125687,0.22598931761121624,0.1342902568130684
Nb,96916,0.2258030924223618,0.13530918677730558
Os,150392,0.21564821790387384,0.13347214725479126
I,148588,0.2002957436119659,0.137280944450634
F,139632,0.19972551779713088,0.15741305501823433
Cs,125848,0.19945179589319584,0.13952668612316133
Ta,137413,0.19829006785736908,0.11182963126754752
Rb,152916,0.19448019907113553,0.12960496250720976
Hf,109783,0.194476487526805,0.112532921226902
Mo,133079,0.19392447582358538,0.10862582206956864
Cl,197166,0.1928974291119429,0.17097296999092104
V,104116,0.1898893719571381,0.11826538760009188
O,321221,0.18678318789294793,0.153767342411804
Np,49884,0.18491393707159978,0.16403020497322085
S,207514,0.18451159168361844,0.16526825050506588
Ti,116777,0.1797232190535019,0.11111074812454225
N,191521,0.17836236774659622,0.12268768576272965
P,207281,0.17754130730913137,0.12138479476623543
Cr,135259,0.17702956120873972,0.10372059933700561
Br,191595,0.17541401252474653,0.1295944432696533
Tc,148676,0.17424248520257535,0.09890480098539353
K,197344,0.17407187854115147,0.11940694659400951
Ir,196250,0.16910511776196163,0.10638693372696878
Bi,145611,0.1672772462732055,0.10742447777938846
Sb,202954,0.16487093925578478,0.10153914398391722
As,192904,0.1644620342663399,0.10433450385330201
Te,239223,0.1633300215321202,0.10493538951950077
Zr,166987,0.1594947247737758,0.09399259038459777
Se,255281,0.15777639825685136,0.10754557805786136
Fe,163043,0.15751116636175613,0.09319105330627442
Sr,191226,0.1562129902389339,0.10241990233848575
Ru,178319,0.15575036252845417,0.08813437909088151
Na,176470,0.15434434657832233,0.10255776467700005
Be,135859,0.15430069175838196,0.08452421416137695
Ba,192175,0.15083666361972428,0.09935992770309443
Mn,168902,0.15008458854309645,0.08564794319557184
Ca,208539,0.14990424130401472,0.10009584916381836
Co,191695,0.14407370446840984,0.09029264298912049
Y,247765,0.14287740279984637,0.09153487856323239
Ni,226107,0.13997767278630235,0.08756426303660583
H,158026,0.13802251858548778,0.09187437720489502
Pt,232407,0.1379430999640343,0.08276283504257198
Pu,96107,0.13775329669303896,0.1221231388809203
Ge,177464,0.13668372771829929,0.08607687039466858
Si,195906,0.13580158401394557,0.0822571420215931
Sn,188753,0.13537136713427175,0.08498513395538332
Ag,244604,0.13395706828419618,0.08603956973312377
Rh,228547,0.13291507212733655,0.07792401654502867
Sc,223537,0.1327372798949423,0.08230730545578002
Cu,236858,0.13239212567597844,0.08618685665100095
La,257968,0.1320626890919439,0.08190375636165617
Au,242736,0.13202485087159715,0.0867218055208969
U,53076,0.1319910075215598,0.11197182013015747
Al,228407,0.13167944245177599,0.08464783618751526
Pb,210966,0.1316123219568572,0.08334072560244558
Pa,83185,0.13156467326921129,0.11062631446075444
Pd,226052,0.1285265960730346,0.07660241669078827
Eu,30063,0.12846782408900143,0.10292068856811554
Li,270325,0.12205889161768155,0.08336623664779663
Cd,247271,0.1195373100308885,0.07595209399968339
Zn,252451,0.11924584700945666,0.07737948352993011
In,264256,0.11860646883158753,0.07577293998465537
Tl,267655,0.11846929840699384,0.07486325684623718
Yb,8897,0.11585628459471616,0.0905337385005951
Mg,249733,0.1149891579841764,0.06858453459922786
Ga,221320,0.11391812467904924,0.06980739685058593
Hg,247765,0.11067264042148907,0.0677917974140167
Ce,126033,0.10211188674494716,0.08026038436431893
Th,109731,0.09977318325101298,0.07445454508636473
Er,159262,0.09278999296638625,0.06747628413610268
Tb,169894,0.09262902971986739,0.067895492570372
Ho,163443,0.09259342682047096,0.0677917974140167
Nd,170888,0.09253807616937038,0.06937602338130949
Dy,165416,0.0923401428362597,0.06740388515785212
Pm,189365,0.0923030702051823,0.07015784860382102
Ac,150323,0.09211008034768449,0.06992946506294251
Sm,169908,0.09200836747498298,0.06916045775838281
Tm,160323,0.0919126823161717,0.06624001300399779
Pr,169920,0.0911359617883124,0.06945215318393708
Lu,33803,0.07740140044574781,0.05760585221314621
Gd,34063,0.07098736266276412,0.05140100297643661
