id,formula,e_form,dft_bandgap_eV,dft_bandgap_dir_eV,sk_bandgap_eV
agm003160766,Ag,0.0,0.0,0.0,0.013144969940185547
agm005595355,Ag2BPd6,-0.16859463,0.0,0.0,0.0007183551788330078
agm005837994,Ag2Cl3O,-0.73038685,0.2849,0.3522,0.0007419586181640625
agm003285687,Ag2F13,-0.7965639999999999,0.0,0.0063,0.0002655982971191406
agm003212036,Ag2GeS3,-0.54890174,0.4958,0.6297,1.0362756252288818
agm003280610,Ag2H4(SO4)3,-1.575915,2.9793000000000003,3.1516,3.321657657623291
agm003201949,Ag2O,-0.30882144,0.0,0.0,1.344580888748169
agm003485104,Ag2PdBr6,-0.27286875,0.3599,0.40990000000000004,0.8864290714263916
agm005636729,Ag2(PO3)3,-2.0578306,0.0,0.0,0.00022602081298828125
agm003485362,Ag2RuCl6,-0.8718014,0.0,0.0092,0.0001125335693359375
agm005963514,Ag2SbPd5,-0.23836143,0.0,0.0,0.003714323043823242
agm003215772,Ag2SeO4,-0.8375180999999999,0.4393,0.6094,1.7567143440246582
agm002182144,Ag2SnS3,-0.5618823,0.1885,0.1885,2.321582555770874
agm002132834,Ag2Te,-0.052984226,0.0,0.0673,0.003763437271118164
agm002185318,Ag2TeSe3,-0.044794112000000004,0.8273,0.8273,2.5600390434265137
agm004662755,Ag3As(IF3)2,-1.5849897,1.9867,2.0435,4.334778785705566
agm003283685,Ag3AsSe3,-0.10686646400000001,0.8537,0.8537,1.245140552520752
agm003304729,Ag3(ClF)2,-1.050655,0.0,0.0,0.0014829635620117188
agm004662208,Ag3Mo(BrF3)2,-1.7173066000000001,1.256,1.318,7.2479248046875e-05
agm003216291,Ag3P11,-0.021616293,0.8281000000000001,1.1906,2.2747962474823
agm003219711,Ag3PO4,-1.4113891,0.7000000000000001,0.8162,1.0980572700500488
agm004662786,Ag3Rh(ClF3)2,-1.4365944,0.0,0.0111,0.0009694099426269531
agm004662625,Ag3Ru(ClF3)2,-1.5568448,0.0971,0.2315,0.00039505958557128906
agm004662768,Ag3Sb(ClF3)2,-1.8474053,1.6684,1.6688,3.7725045680999756
agm003710536,Ag3SeF,-0.56433654,0.0426,0.0426,0.0012903213500976562
agm003229294,Ag3SnP7,-0.044810526,0.5728,0.7473000000000001,1.4603686332702637
agm003248098,Ag4TeO5,-0.7749296,0.0,0.0086,0.6211771965026855
agm005538410,Ag5Cl7,-0.7472428,0.0,0.0286,0.0015940666198730469
agm005536725,Ag5Pd4,-0.04133483,0.0,0.0,0.00031757354736328125
agm003229251,Ag5PSeO4,-1.0922886,0.3124,0.6567000000000001,0.13942813873291016
agm005537270,Ag6F5,-1.098694,0.0,0.0,0.0011301040649414062
agm006114290,Ag6MoCl12,-0.924612,0.0339,0.11470000000000001,0.3733987808227539
agm006092382,Ag6RuCl12,-0.81654453,0.0,0.0244,0.0013823509216308594
agm003277834,Ag7PSe6,-0.099846184,0.43610000000000004,0.43610000000000004,1.368211269378662
agm005633318,Ag8Se3Cl2,-0.27320367,0.9442,1.3917,1.5958940982818604
agm003239638,AgAs3H2O9,-1.4414226,0.7505000000000001,0.8007000000000001,3.6173577308654785
agm002181400,AgAsS2,-0.44901294,1.5922,1.5922,3.314615488052368
agm003232958,AgBF4,-2.5933888,3.044,3.044,3.381075143814087
agm005774860,Ag(BrCl3)2,-0.5066193,0.0,0.0004,4.38690185546875e-05
agm005709548,AgBrN2,-0.31851938,1.7212,1.7212,2.5288329124450684
agm002143356,AgCl,-0.7385436999999999,1.3255,1.3255,2.881260633468628
agm005832357,Ag(ClO)2,-0.70379674,0.0,0.1748,1.049041748046875e-05
agm005543149,AgF3,-1.3473116,0.0,0.0081,7.915496826171875e-05
agm005857010,AgH2F3,-1.6794460999999998,2.2331,2.2937,3.035012722015381
agm001234387,AgH4NCl3,-0.8437781,0.0,0.0,0.014222383499145508
agm002492905,AgHPd3,-0.09489829,0.0,0.3523,0.00864863395690918
