jid,species,homo_raw,lumo_raw,hl_gap_hartree_eV,hl_gap_ev_eV,sk_bandgap_eV,excluded
cc-0,NH3NH3,-0.247560,0.076880,8.828462,0.324440,15.829794,
cc-4,CH3OHH2O,-0.240240,0.037720,7.563677,0.277960,15.766266,
cc-8,H2OCH3OCH3,-0.266580,0.073900,9.264933,0.340480,15.061323,
cc-12,H2CO,-0.268490,-0.042110,6.160114,0.226380,4.859433,
cc-16,H2NCH2COOH,-0.249330,0.006270,6.955230,0.255600,5.807926,
cc-20,NH2CONH2,-0.250130,0.051400,8.205049,0.301530,6.923227,
cc-24,C3H4O2,-0.279680,0.006100,7.776470,0.285780,6.386227,
cc-28,NH2CSNH2,-0.205310,-0.006910,5.398739,0.198400,5.576478,
cc-32,CH3OH,-0.264550,0.075240,9.246157,0.339790,15.674402,
cc-36,CHCl3,-0.315920,-0.049830,7.240678,0.266090,10.111527,
cc-40,C3H7NO,-0.242190,0.032210,7.466804,0.274400,5.672363,
cc-44,C4H10O,-0.261100,0.078000,9.227381,0.339100,15.078966,
cc-48,CH3COO-,0.009620,0.284320,7.474968,0.274700,6.525842,
cc-52,CH3Br,-0.272190,0.003010,7.488573,0.275200,9.133884,
cc-56,C2H2,-0.281930,0.052430,9.098399,0.334360,9.538241,
cc-60,CH3SH,-0.236380,0.027760,7.187616,0.264140,10.813309,
cc-64,C3H8,-0.324490,0.096070,11.444021,0.420560,16.496145,
cc-68,CH2CHF,-0.260330,0.021940,7.680958,0.282270,7.106467,
cc-72,CH3CH2SH,-0.234920,0.028160,7.158771,0.263080,10.491813,
cc-76,CHONH2,-0.254750,0.029740,7.741367,0.284490,6.662689,
cc-80,CH2NOH,-0.264160,-0.002580,7.117954,0.261580,5.032707,
cc-84,Al(CH3)3,-0.259500,-0.017410,6.587604,0.242090,5.506126,
cc-88,CH3CH(CH3)CH3,-0.317630,0.086000,10.983332,0.403630,15.948725,
cc-92,CH3CHCl2,-0.304290,-0.012100,7.950895,0.292190,10.177598,
cc-96,CH2CF2,-0.262150,0.027630,7.885316,0.289780,7.630780,
cc-100,CHF3,-0.389250,0.116830,13.771138,0.506080,23.424242,
cc-104,CBr2F2,-0.296560,-0.068010,6.219162,0.228550,10.984712,
cc-108,C4H10O,-0.259290,0.066020,8.852136,0.325310,14.062349,
cc-112,CF2Cl2,-0.332100,-0.041710,7.901914,0.290390,12.875922,
cc-116,SiCl3CH3,-0.326170,-0.012960,8.522878,0.313210,12.557064,
cc-120,CF3CHO,-0.298380,-0.075060,6.076847,0.223320,4.392450,
cc-124,CF3CF2Cl,-0.350200,-0.013790,9.154182,0.336410,12.072565,
cc-128,C5H6,-0.235090,-0.017360,5.924735,0.217730,5.307025,
cc-132,CHOCH(CH3)CH3,-0.248030,-0.020950,6.179162,0.227080,4.955163,
cc-136,CH3COCH2CH3,-0.243450,-0.009760,6.359029,0.233690,5.142672,
cc-140,CHClCCl2,-0.261250,-0.029440,6.307871,0.231810,6.351460,
cc-144,CH3CH2COOH,-0.274820,0.011600,7.793885,0.286420,6.650516,
cc-148,CH5N3S,-0.198080,0.014250,5.777794,0.212330,5.748833,
cc-152,ClCOClCO,-0.315480,-0.133670,4.947302,0.181810,3.958045,
cc-156,C10H8,-0.212690,-0.035230,4.828933,0.177460,4.043107,
cc-160,C5H10O,-0.249620,-0.020020,6.247734,0.229600,4.969082,
cc-164,C4H6O2,-0.272770,-0.044050,6.223788,0.228720,5.127232,
cc-168,C2H4CO3,-0.305350,0.022960,8.933770,0.328310,6.981719,
cc-172,CH3COC6H5,-0.247010,-0.054190,5.246899,0.192820,4.138352,
cc-176,C6H5OCH3,-0.215160,0.004040,5.964736,0.219200,5.127265,
cc-180,C6H4O2,-0.270590,-0.129990,3.825921,0.140600,2.062196,
cc-184,CH3CH2CH2CH3,-0.317460,0.094880,11.220343,0.412340,15.905045,
cc-188,CH2CHCHCH2,-0.229030,-0.022480,5.620512,0.206550,4.752590,
cc-192,CH2ClCH2Cl,-0.306780,-0.006120,8.181375,0.300660,8.971090,
cc-196,C2H8N2,-0.215530,0.079010,8.014842,0.294540,12.852911,
cc-200,CH2ClCHO,-0.277620,-0.051550,6.151678,0.226070,5.027400,
cc-204,CH3OCHO,-0.283610,0.005480,7.866540,0.289090,6.663388,
cc-208,CH3NHCH2COOH,-0.252710,0.018020,7.366939,0.270730,5.646907,
cc-212,C6H5Br,-0.241890,-0.012580,6.239843,0.229310,5.504186,
cc-216,C6H10O,-0.234390,-0.011970,6.052357,0.222420,4.917091,
cc-220,CH2CHCH2CH2CH3,-0.248960,0.026560,7.497281,0.275520,6.570864,
cc-224,CH3CH2CH2CN,-0.318640,0.035480,9.636096,0.354120,7.274295,
cc-228,C3H8O2,-0.266510,0.096390,9.875012,0.362900,15.328832,
cc-232,CH2CHOCHCH2,-0.215350,0.019610,6.393587,0.234960,5.746564,
cc-236,C4H4O,-0.224440,0.019660,6.642299,0.244100,5.658483,
cc-240,C4H8Cl2,-0.294490,0.013010,8.367501,0.307500,9.877635,
cc-244,C5H12S,-0.232380,0.029250,7.119315,0.261630,10.310736,
cc-248,C6H10,-0.233460,0.034200,7.283400,0.267660,6.135621,
cc-252,C5H11N,-0.214450,0.083910,8.118789,0.298360,13.272652,
cc-256,C8H18,-0.295670,0.091390,10.532439,0.387060,14.944001,
cc-260,CH3OCH3,-0.251810,0.092400,9.366431,0.344210,15.373041,
cc-264,C5H4N4,-0.252600,-0.047310,5.586225,0.205290,4.018634,
cc-268,CH3CH2CHO,-0.253490,-0.019140,6.376988,0.234350,5.050593,
cc-272,C5H8O2,-0.251020,-0.045030,5.605273,0.205990,4.682746,
cc-276,C10H22,-0.290140,0.090520,10.358286,0.380660,14.770222,
cc-280,CHClBr2,-0.287340,-0.067980,5.969090,0.219360,9.211741,
cc-284,HOCH2CH2NH2,-0.243910,0.068980,8.514171,0.312890,13.928619,
cc-288,C4H8O2,-0.266630,0.016520,7.704904,0.283150,6.639529,
cc-292,C7H16,-0.299500,0.091990,10.652986,0.391490,15.076814,
cc-296,C2H2O4,-0.297640,-0.085690,5.767453,0.211950,3.878628,
cc-300,C2H5N,-0.243840,0.080230,8.818394,0.324070,9.412460,
cc-304,CHNHCH,-0.204760,0.003320,5.662145,0.208080,5.927392,
cc-308,C5H8,-0.265290,0.104600,10.065220,0.369890,11.227226,
cc-312,C12H10,-0.170300,-0.068000,2.783725,0.102300,1.954738,
cc-316,C8H8,-0.256830,0.079250,9.145203,0.336080,12.083515,
cc-320,C6H12N2,-0.181680,0.069490,6.834684,0.251170,10.739656,
cc-324,C4H8,-0.298660,0.096740,10.759382,0.395400,14.843719,
cc-328,C3H4N2,-0.225080,0.033290,7.030606,0.258370,5.759484,
cc-332,C4H4N2,-0.251060,-0.052200,5.411256,0.198860,2.927578,
cc-336,C7H14,-0.297070,0.080040,10.261686,0.377110,14.875298,
cc-340,CHOCOOH,-0.284760,-0.108960,4.783762,0.175800,3.173962,
cc-344,C2H5SC2H5,-0.213190,0.038430,6.846929,0.251620,9.970127,
cc-348,CFBr3,-0.287710,-0.089000,5.407175,0.198710,10.083178,
cc-352,CF3COF,-0.345030,-0.065810,7.597963,0.279220,5.808562,
cc-356,CH2BrF,-0.284060,-0.008690,7.493199,0.275370,9.635951,
cc-360,C6F6,-0.269480,-0.029800,6.522025,0.239680,5.804404,
cc-364,HOCN,-0.308270,0.004870,8.520973,0.313140,8.089789,
cc-368,C4H6O2,-0.243480,-0.085950,4.286610,0.157530,2.720844,
cc-372,C2N2,-0.369210,-0.093820,7.493744,0.275390,5.957039,
cc-376,HSCN,-0.288850,-0.035110,6.904617,0.253740,6.290009,
cc-380,NH2COOH,-0.272040,0.052990,8.844517,0.325030,7.457002,
cc-384,CaCO3,-0.172520,-0.129370,1.174171,0.043150,5.870849,
cc-388,C2H3NO3,,,,,4.151986,null_homo_lumo
cc-392,C3H6O,-0.241670,0.088130,8.974315,0.329800,13.206041,
cc-396,C3O2,-0.290320,-0.067160,6.072493,0.223160,5.586421,
cc-400,BrCN,-0.322020,-0.038880,7.704632,0.283140,7.414985,
cc-404,HCNO,-0.270850,0.021080,7.943820,0.291930,7.523443,
cc-408,CH3CH(SH)CH2CH3,-0.232860,0.028860,7.121764,0.261720,10.052252,
cc-412,C6H5CCH,-0.231030,-0.028510,5.510850,0.202520,5.023496,
cc-416,NH2CH2CN,-0.271860,0.017330,7.869261,0.289190,6.346368,
cc-420,C5H12S,-0.232100,0.027440,7.062443,0.259540,10.246483,
cc-424,C6H4Cl2,-0.254370,-0.026640,6.196849,0.227730,5.618183,
cc-428,C3H7ONO,-0.270490,-0.074840,5.323908,0.195650,2.293502,
cc-432,Zn(CH3)2,-0.245490,0.004910,6.813731,0.250400,6.464974,
cc-436,CBr4,-0.286550,-0.101500,5.035467,0.185050,9.315583,
cc-440,C6H12,-0.238990,0.031010,7.347074,0.270000,6.431108,
cc-444,C7H16,-0.297800,0.086620,10.460601,0.384420,15.039672,
cc-448,C5H8,-0.249480,0.006490,6.965299,0.255970,6.278700,
cc-452,CH2ClCHCHCH3,-0.258440,-0.010830,6.737811,0.247610,5.967227,
cc-456,CH3PH2,-0.251280,0.033920,7.760687,0.285200,12.341877,
cc-460,CH2FCl,-0.309610,0.015760,8.853769,0.325370,11.465878,
cc-464,As(CH3)3,-0.223260,0.057740,7.646400,0.281000,9.662119,
cc-468,C4H8,-0.271940,0.102240,10.181957,0.374180,11.304403,
cc-472,(CH3)3CC(CH3)3,-0.293700,0.072590,9.967259,0.366290,14.149112,
cc-476,CH3NO3,-0.316380,-0.065930,6.815092,0.250450,5.500455,
cc-480,C6H12,-0.225570,0.036390,7.128295,0.261960,5.989940,
cc-484,C4H7NO,-0.237210,0.036380,7.444763,0.273590,5.947929,
cc-488,CH3SCH2CH3,-0.215060,0.040670,6.958768,0.255730,10.149367,
cc-492,NH2CONHC2H5,-0.238760,0.058520,8.089401,0.297280,6.512517,
cc-496,C5H8,-0.257350,0.058870,8.604785,0.316220,8.388067,
cc-500,C5H12O,-0.249240,0.092250,9.292416,0.341490,14.779022,
cc-504,C6H8,-0.226160,0.025470,6.847201,0.251630,5.761054,
cc-508,C5H10,-0.234160,0.038480,7.418912,0.272640,6.175893,
cc-512,C6N4,-0.335180,-0.182270,4.160893,0.152910,3.331597,
cc-516,CH3PHCH3,-0.233190,0.049520,7.692931,0.282710,11.873419,
cc-520,C2H3CCH,-0.241190,-0.025800,5.861060,0.215390,5.440864,
cc-524,C6H10,-0.256590,0.059360,8.597437,0.315950,8.358712,
cc-528,C4H6N2,-0.214400,0.035280,6.794139,0.249680,5.584721,
cc-532,C6H10,-0.239200,0.064470,8.263282,0.303670,8.051593,
cc-536,C4H12N2,-0.212940,0.064930,7.561228,0.277870,12.314982,
cc-540,C4H6,-0.243480,0.027330,7.369116,0.270810,6.217891,
cc-544,CH3NO,-0.226570,-0.083970,3.880344,0.142600,1.454855,
cc-548,C6H12,-0.225200,0.035850,7.103532,0.261050,5.992368,
cc-552,C5H6O,-0.218540,0.024870,6.623524,0.243410,5.555448,
cc-556,CH3SiH3,-0.324350,0.040690,9.933244,0.365040,13.808308,
cc-560,HCCCN,-0.308780,-0.054720,6.913325,0.254060,6.167907,
cc-564,C4H6OS,-0.230430,-0.019180,5.748405,0.211250,5.692116,
cc-568,C4H4,-0.118340,-0.118380,-0.001088,-0.000040,2.965471,
cc-572,C4H7NO,-0.240500,0.030970,7.387075,0.271470,5.792794,
cc-576,C4H6O,-0.242360,-0.021300,6.015349,0.221060,4.877044,
cc-580,CaO,-0.171910,-0.104580,1.832143,0.067330,6.156760,
cc-584,GeO2,-0.323150,-0.120260,5.520918,0.202890,7.080540,
cc-588,Na2O,-0.121720,-0.047040,2.032146,0.074680,6.809966,
cc-592,H2,-0.433960,0.100090,14.532241,0.534050,19.252857,
cc-596,C6H3F3,-0.256450,-0.015000,6.570189,0.241450,5.488977,
cc-600,CH3C(SCH3)HCH3,-0.214690,0.044480,7.052375,0.259170,9.928050,
cc-604,OCSe,-0.281940,-0.038150,6.633864,0.243790,6.461329,
cc-608,C2H2F2,-0.254080,0.023720,7.559323,0.277800,6.795516,
cc-612,C5H12S,-0.230690,0.028180,7.044212,0.258870,10.145470,
cc-616,CH3OCH2CN,-0.290170,0.006650,8.076884,0.296820,6.491343,
cc-620,C5H10S,-0.210710,0.035640,6.703525,0.246350,9.109006,
cc-624,C3H5+,-0.573660,-0.382020,5.214790,0.191640,5.188421,
cc-628,C2H5-,0.128040,0.318010,5.169347,0.189970,13.777960,
cc-632,CN-,0.018570,0.354350,9.137039,0.335780,3.400070,
cc-636,HCCl,-0.246230,-0.121320,3.398974,0.124910,1.973454,
cc-640,CH3OO-,0.101850,0.306030,5.556021,0.204180,5.666596,
cc-644,CH3O-,0.081000,0.326710,6.686110,0.245710,15.547323,
cc-648,CH3-,0.137130,0.372530,6.405560,0.235400,14.992729,
cc-652,CHFCHClz,-0.256980,0.004280,7.109247,0.261260,6.716611,
cc-656,C2H2ClF,-0.264740,0.004120,7.316053,0.268860,7.137800,
cc-660,C6H5-,0.059850,0.210260,4.092865,0.150410,4.220403,
