name,formula,scf_vbm,scf_cbm,scf_gap_raw_eV,scf_gap_clipped_eV,sk_bandgap_eV,dft_bandgap_eV,residual_eV
Surface-JVASP-15348_miller_1_1_0_thickness_16_VASP_PBE_noDP,BeAlB,7.388,7.286,-0.102,0.0,0.0042,0.012900000000000134,-0.008700000000000135
Surface-JVASP-63938_miller_1_1_0_thickness_16_VASP_PBE_noDP,BaNaBr,1.924,1.315,-0.609,0.0,0.0025,0.027000000000000024,-0.024500000000000025
Surface-JVASP-7844_miller_1_1_0_thickness_16_VASP_PBE_noDP,AlN,9.168,5.622,-3.546,0.0,4.1769,2.5884,1.5884999999999998
Surface-JVASP-8047_miller_1_1_0_thickness_16_VASP_PBE_noDP,ZnSe,2.477,1.222,-1.255,0.0,4.2398,1.9624000000000001,2.2773999999999996
Surface-JVASP-8182_miller_1_1_0_thickness_16_VASP_PBE_noDP,AlP,6.41,4.36,-2.05,0.0,2.9505,2.0059,0.9445999999999999
Surface-JVASP-85122_miller_1_1_0_thickness_16_VASP_PBE_noDP,InP,5.004,4.629,-0.375,0.0,3.3173,1.3068,2.0105
Surface-JVASP-96_miller_0_0_1_thickness_16_VASP_PBE_noDP,ZnSe,2.426,1.202,-1.224,0.0,1.0807,0.018299999999999983,1.0624
Surface-JVASP-8182_miller_1_1_0_thickness_16_VASP_PBE,AlP,6.41,4.36,-2.05,0.0,2.9509,2.0057,0.9451999999999998
Surface-JVASP-85122_miller_1_1_0_thickness_16_VASP_PBE,InP,5.004,4.629,-0.375,0.0,3.3183,1.3122,2.0061
Surface-JVASP-96_miller_0_0_1_thickness_16_VASP_PBE,ZnSe,2.426,1.202,-1.224,0.0,1.4886,0.049900000000000055,1.4386999999999999
Surface-JVASP-1327_miller_1_0_0_thickness_16_VASP_PBE_noDP,AlP,6.054,4.26,-1.794,0.0,1.2483,0.03389999999999993,1.2144
Surface-JVASP-22685_miller_1_1_0_thickness_16_VASP_PBE_noDP,CdTe,1.776,2.302,0.526,0.526,3.799,1.4843000000000002,2.3146999999999998
Surface-JVASP-35711_miller_1_1_0_thickness_16_VASP_PBE_noDP,GaSb,4.454,4.453,-0.001,0.0,1.5486,0.9189,0.6296999999999999
Surface-JVASP-36408_miller_0_0_1_thickness_16_VASP_PBE_noDP,SnC,8.324,7.576,-0.748,0.0,0.0687,0.039699999999999847,0.02900000000000015
Surface-JVASP-36873_miller_0_0_1_thickness_16_VASP_PBE_noDP,BSb,8.111,7.166,-0.945,0.0,0.0101,0.04200000000000004,-0.03190000000000004
Surface-JVASP-7844_miller_1_1_0_thickness_16_VASP_PBE,AlN,9.168,5.622,-3.546,0.0,4.1678,2.5846999999999998,1.5831
Surface-JVASP-8047_miller_1_1_0_thickness_16_VASP_PBE,ZnSe,2.477,1.222,-1.255,0.0,4.3439,1.8481999999999998,2.4957
Surface-JVASP-1002_miller_0_0_1_thickness_16_VASP_R2SCAN,Si,6.19,5.459,-0.731,0.0,0.0361,0.0040999999999999925,0.03200000000000001
Surface-JVASP-1002_miller_1_1_0_thickness_16_VASP_R2SCAN,Si,6.19,5.459,-0.731,0.0,0.3161,0.0572,0.2589
Surface-JVASP-816_miller_1_1_0_thickness_16_VASP_R2SCAN,Al,3.468,20.232,16.764,16.764,0.0032,0.015600000000000058,-0.012400000000000059
Surface-JVASP-963_miller_0_0_1_thickness_16_VASP_R2SCAN,Pd,7.917,9.431,1.514,1.514,0.002,0.001100000000000101,0.0008999999999998991
Surface-JVASP-813_miller_1_1_0_thickness_16_VASP_R2SCAN,Ag,4.194,13.371,9.177,9.177,0.0264,0.0008000000000001339,0.025599999999999866
Surface-JVASP-14837_miller_1_1_0_thickness_16_VASP_R2SCAN,V,4.618,9.431,4.813,4.813,0.001,0.0027000000000000357,-0.0017000000000000357
Surface-JVASP-890_miller_0_0_1_thickness_16_VASP_R2SCAN,Ge,4.28,4.363,0.083,0.083,0.0008,0.0121,-0.0113
Surface-JVASP-62940_miller_0_0_1_thickness_16_VASP_R2SCAN,BN,6.564,2.104,-4.46,0.0,3.909,4.4123,-0.5033000000000003
Surface-JVASP-8003_miller_1_1_0_thickness_16_VASP_R2SCAN,CdS,1.818,0.825,-0.993,0.0,4.0464,1.3723,2.6741
Surface-JVASP-96_miller_1_1_1_thickness_16_VASP_R2SCAN,ZnSe,2.426,1.202,-1.224,0.0,0.6455,0.014499999999999957,0.631
Surface-JVASP-133719_miller_0_0_1_thickness_16_VASP_R2SCAN,BAs,6.984,5.688,-1.296,0.0,0.0119,0.05800000000000005,-0.04610000000000005
Surface-JVASP-1327_miller_0_0_1_thickness_16_VASP_R2SCAN,AlP,6.054,4.26,-1.794,0.0,1.2619,0.08890000000000009,1.173
Surface-JVASP-8184_miller_0_0_1_thickness_16_VASP_R2SCAN,GaP,5.657,4.395,-1.262,0.0,0.0069,0.03510000000000002,-0.02820000000000002
Surface-JVASP-1177_miller_1_1_1_thickness_16_VASP_R2SCAN,GaSb,4.35,4.35,0.0,0.0,0.876,0.0746,0.8014
Surface-JVASP-91_miller_1_1_1_thickness_16_VASP_R2SCAN,C,13.914,9.457,-4.457,0.0,0.0006,0.12860000000000005,-0.12800000000000006
Surface-JVASP-8118_miller_1_1_0_thickness_16_VASP_R2SCAN,SiC,10.545,7.927,-2.618,0.0,2.0935,1.4833,0.6102000000000001
Surface-JVASP-36403_miller_1_1_0_thickness_16_VASP_R2SCAN,SiSn,5.588,5.34,-0.248,0.0,0.4737,0.021799999999999986,0.4519
Surface-JVASP-30_miller_0_0_1_thickness_16_VASP_R2SCAN,GaN,6.834,4.891,-1.943,0.0,2.6732,0.011200000000000099,2.662
Surface-JVASP-1177_miller_1_1_0_thickness_16_VASP_PBE,GaSb,4.35,4.35,0.0,0.0,0.6462,0.07120000000000001,0.575
Surface-JVASP-1192_miller_0_0_1_thickness_16_VASP_PBE,CdSe,0.871,0.416,-0.455,0.0,1.2073,0.034600000000000186,1.1726999999999999
Surface-JVASP-1408_miller_0_0_1_thickness_16_VASP_PBE,AlSb,5.611,4.289,-1.322,0.0,0.8879,0.002100000000000102,0.8857999999999999
Surface-JVASP-30_miller_1_0_0_thickness_16_VASP_PBE,GaN,6.834,4.891,-1.943,0.0,0.0058,0.008999999999999897,-0.0031999999999998974
Surface-JVASP-36119_miller_1_1_0_thickness_16_VASP_PBE,InAs,3.822,3.822,0.0,0.0,2.1791,0.9512,1.2279
Surface-JVASP-37905_miller_1_1_0_thickness_16_VASP_PBE,BAs,7.282,5.922,-1.36,0.0,1.1705,1.145,0.025500000000000078
Surface-JVASP-858_miller_1_0_0_x1015_thickness_16_VASP_R2SCAN_R2SCAN,Co,9.212,11.468,2.256,2.256,0.0014,0.0004999999999997229,0.0009000000000002771
Surface-JVASP-895_miller_1_0_1_x1015_thickness_16_VASP_R2SCAN_R2SCAN,I,3.494,2.579,-0.915,0.0,1.5684,0.6763,0.8921
Surface-JVASP-816_miller_1_0_0_x1015_thickness_16_VASP_R2SCAN_R2SCAN,Al,3.468,20.232,16.764,16.764,0.0038,0.00010000000000021103,0.003699999999999789
Surface-JVASP-993_miller_1_1_0_x1015_thickness_16_VASP_R2SCAN_R2SCAN,Sb,6.324,6.465,0.141,0.141,0.0022,0.013599999999999945,-0.011399999999999945
