id,Tc_K,dosef,debye_K,lambda,wlog_K,sk_bandgap_eV
agm003769282,9.750000,9.067489,479.847198,0.704090,267.123489,0.001643
agm001624792,0.782000,3.064092,404.741302,0.395073,196.702827,0.001529
agm003192700,2.270000,3.681760,367.316284,0.506444,173.400996,0.019716
agm001311652,0.000000,0.744662,428.471954,0.148081,278.932679,0.003773
agm001129235,0.000000,3.611043,708.813843,0.156176,393.729575,0.000843
agm001830312,2.355000,1.536459,298.377838,0.532656,148.854177,0.020969
agm002634241,0.075000,1.578970,335.628754,0.306649,124.807065,0.000830
agm003471761,0.172000,4.888026,401.470245,0.309024,265.506753,0.001278
agm001337121,1.514000,2.888458,290.276764,0.544681,88.053369,0.014899
agm003263116,0.022000,4.978350,606.535339,0.253410,335.710670,0.008676
agm003434566,0.012000,2.112110,305.677643,0.256002,159.417983,0.009563
agm003435724,1.004000,5.976073,435.500275,0.392301,263.900009,0.002361
agm003436025,6.535000,6.211959,374.027985,0.651575,218.784219,0.000447
agm003299314,3.478000,5.944877,282.520050,0.538045,212.244265,0.003028
agm001232561,0.725000,0.890860,351.441254,0.405782,156.888671,0.007301
agm002925880,13.112000,3.716714,451.461700,1.382735,110.218478,0.003012
agm001130151,0.007000,1.116972,333.216156,0.248425,142.022784,0.003479
agm003178453,0.041000,1.263174,422.521881,0.271515,250.579910,0.003047
agm003204379,0.019000,3.275321,814.247009,0.247320,411.833167,0.000004
agm002314062,0.000000,0.451798,401.548157,0.080893,242.432533,0.011127
agm002244919,0.527000,5.764048,411.522247,0.360311,238.324921,0.003418
agm001116564,3.087000,3.450094,484.625763,0.511000,228.133535,0.000189
agm002565225,0.065000,2.985489,296.059753,0.300120,131.618169,0.001261
agm001137203,3.396000,3.194524,483.702087,0.543294,199.699775,0.013323
agm003771400,0.031000,2.466031,312.337311,0.275430,161.947549,0.003151
agm001284048,0.103000,2.624816,437.522675,0.295059,250.053631,0.008091
agm003186327,0.005000,1.318316,567.515991,0.233681,294.772269,0.003958
agm001289539,0.007000,1.152840,477.949188,0.241664,217.242173,0.000001
agm001116647,0.000000,1.874785,344.134186,0.182896,205.953423,0.001424
agm001616933,0.178000,2.831845,349.811188,0.331630,149.290219,0.000050
agm001121571,5.485000,2.909399,491.510406,0.590142,245.271788,0.000412
agm001150793,0.173000,2.704532,453.684601,0.305160,300.389130,0.004768
agm003169384,3.451000,5.019069,480.486145,0.570038,172.436688,0.005732
agm003557884,15.585000,2.018944,640.986938,0.805649,311.884427,0.006018
agm002744567,0.355000,3.381331,344.979034,0.345477,217.202620,0.001849
agm003157158,24.611000,1.865506,345.257904,1.738015,162.779146,0.001351
agm002190662,4.314000,4.071921,456.011597,0.580417,203.521720,0.002878
agm002249208,0.043000,2.744291,491.055023,0.271103,269.568380,0.003500
agm003435928,0.041000,3.892060,412.552155,0.269609,272.322178,0.001399
agm002134934,0.009000,2.757967,588.551331,0.238448,351.125657,0.000615
agm001230266,4.911000,4.240425,484.669769,0.586144,224.783750,0.000465
agm005020139,0.000000,1.362649,438.756317,0.197708,282.224836,0.019004
agm003157791,0.000000,0.633795,790.472290,0.188421,510.174613,0.020720
agm003262918,0.824000,6.182142,669.759033,0.362455,358.202885,0.002494
agm002305622,0.068000,1.809718,368.820038,0.284729,238.907419,0.009708
agm003186694,2.260000,1.959476,338.836304,0.521446,154.724373,0.003497
agm001235022,0.443000,0.663547,305.192902,0.387345,125.359389,0.218875
agm001620092,0.876000,2.118739,472.020813,0.390660,235.795867,0.000072
agm003290417,5.003000,8.912071,416.501373,0.587266,226.883406,0.000549
agm002164196,0.000000,2.806283,580.773682,0.156965,343.855315,0.002094
agm003766977,4.535000,5.429541,299.023712,0.633201,164.542112,0.000692
agm002749645,3.024000,4.131437,401.425690,0.520231,208.836225,0.004261
agm001150827,2.172000,3.902894,507.956482,0.459779,250.159348,0.002474
agm001116552,9.132000,5.230103,415.268616,0.758987,208.975125,0.002479
agm001217943,0.014000,2.000732,384.683746,0.256240,177.476134,0.008187
agm001304908,0.000000,1.653802,571.699341,0.164693,261.439412,0.003633
agm003258129,4.984000,5.964798,520.510437,0.594153,217.109956,0.000959
agm001115814,0.000000,1.642665,363.627472,0.171655,222.534083,0.006402
agm001135256,0.410000,1.699390,473.504181,0.350408,225.786592,0.000467
agm002354502,0.962000,5.276874,372.572540,0.417162,178.934414,0.002008
agm002216055,1.040000,2.423125,484.722076,0.343571,661.446889,0.019126
agm002187751,2.359000,2.521145,483.769806,0.476946,230.979053,0.001562
agm002170319,0.000000,5.047313,554.339966,0.178293,498.712470,0.003489
agm002138670,0.035000,0.836944,445.129486,0.267642,253.598302,0.016520
agm001829113,0.471000,3.069765,512.121460,0.351790,252.519130,0.000236
agm003201841,3.601000,2.912891,621.923401,0.489404,315.851371,0.006257
agm001258419,0.010000,1.069537,464.651886,0.240860,352.150221,0.016422
agm002327186,1.882000,3.902100,433.648651,0.489156,165.497427,0.003187
agm002924978,0.006000,1.630675,435.627014,0.237803,244.331893,0.007185
agm003614522,0.092000,2.330599,580.896301,0.290521,260.355248,0.009880
agm003157708,7.462000,1.560248,349.812531,0.814931,146.167894,0.003400
agm002268056,0.008000,3.595596,275.627777,0.249602,162.140831,0.001633
agm005108774,0.587000,2.525603,417.793884,0.388029,164.332463,0.007441
agm003166093,0.080000,1.061311,386.322174,0.290578,227.602345,0.002380
agm001114282,3.673000,3.079827,389.490356,0.559437,195.766143,0.007902
agm002403920,0.000000,0.367073,481.023102,0.165204,329.634500,0.001745
