id,formula,nsites,spg,e_form,e_above_hull,dft_bandgap_eV,dft_bandgap_dir_eV,dos_ef_dft,sk_bandgap_eV
,Rb,2,191,0.35139808,0.35139808,0.34450000000000003,0.34450000000000003,1.1048377,1.1920928955078125e-06
agm2000000000,Ag,8,164,0.34508422,0.34508422,0.0,0.0014,3.0440147,0.002674102783203125
agm2000000001,Ag,4,191,0.613518,0.613518,0.0,0.0434,0.9603900000000001,0.01608896255493164
agm2000000002,Ag,4,51,0.3368831,0.3368831,0.0,0.1673,0.37332994,0.029073715209960938
agm2000000006,Ag,2,191,1.0416728,1.0416728,0.0,0.0001,0.44385943,1.9073486328125e-05
agm2000000007,Ag,1,123,0.7125749,0.7125749,0.0,0.0,0.21079014000000001,0.20406198501586914
agm2000000008,Al,8,164,0.31672442,0.31672442,0.0,0.0001,4.7012377,0.003940582275390625
agm2000000009,Al,4,67,0.3257564,0.3257564,0.0,0.0063,1.7526367,0.014405012130737305
agm2000000010,Al,4,129,0.45365044,0.45365044,0.0,0.0004,1.9317337,0.06529617309570312
agm2000000012,Al,4,57,0.67303663,0.67303663,0.0,0.0004,2.268398,0.07066798210144043
agm2000000014,Al,2,191,1.1884630999999999,1.1884630999999999,0.0,0.0,2.6868954,0.029581069946289062
agm2000000015,Al,1,123,0.9625522999999999,0.9625522999999999,0.0,0.0,0.57585967,0.0019309520721435547
agm2000000016,As,8,1,0.13489953,0.13489953,0.9712000000000001,0.9881000000000001,-0.0204124,2.090132474899292
agm2000000017,As,4,59,0.05477451,0.05477451,0.7786000000000001,0.7786000000000001,-0.027773,2.0490434169769287
agm2000000018,As,4,53,0.039144404,0.039144404,0.7779,0.8896000000000001,-0.0152868,2.285403251647949
agm2000000019,As,4,129,0.3686871,0.3686871,0.0,0.0001,1.6291493,0.07702136039733887
agm2000000020,As,4,1,2.9661899,2.9661899,1.6837,1.6953,-3.635e-05,0.001911163330078125
agm2000000022,As,2,191,0.57389665,0.57389665,0.0,0.517,1.8826585,0.022347211837768555
agm2000000023,As,1,123,0.55495274,0.55495274,0.0,0.0,0.5293403,0.08376359939575195
agm2000000032,Ba,8,67,0.33211625,0.33211625,0.0,0.0188,12.749578,0.0017478466033935547
agm2000000033,Ba,4,67,0.32923785,0.32923785,0.0,0.0132,5.483067,0.0058307647705078125
agm2000000036,Ba,4,51,0.7427935999999999,0.7427935999999999,0.0,0.0002,9.593298,0.0010063648223876953
agm2000000038,Ba,2,191,1.2775706,1.2775706,0.0,0.0374,3.9330885,0.009251117706298828
agm2000000039,Ba,1,123,0.8871535700000001,0.8871535700000001,0.0,0.2194,1.9697311,0.044713735580444336
agm2000000040,B,8,191,0.39650044,0.39650044,0.0,0.0,1.5750275999999999,0.012440681457519531
agm2000000041,B,8,2,0.35641423,0.35641423,0.0,0.5813,0.6342023,0.03508329391479492
agm2000000042,B,4,12,0.5939926,0.5939926,0.0,0.4214,0.3941538,0.02510976791381836
agm2000000043,B,4,12,0.45348692,0.45348692,0.0,0.5641,0.977931,0.00888204574584961
agm2000000044,B,4,59,0.46702462,0.46702462,0.0,0.2932,1.1025293,0.01296377182006836
agm2000000046,B,13,8,0.5968576999999999,0.5968576999999999,0.0,0.0,0.53167075,0.06611824035644531
agm2000000047,B,13,12,0.616019,0.616019,0.0,0.0,1.027445,0.0404515266418457
agm2000000048,B,15,3,0.53598607,0.53598607,0.0,0.0,1.6178645999999999,0.045427799224853516
agm2000000050,B,2,191,1.2754945,1.2754945,0.0,0.0001,1.0775392,0.040802001953125
agm2000000051,B,1,47,1.1954352,1.1954352,0.0,0.0,0.41786796,0.09690093994140625
agm2000000052,Be,8,51,0.41320938,0.41320938,0.0,0.0078000000000000005,1.6057641999999999,0.021828174591064453
agm2000000053,Be,4,67,0.41821933,0.41821933,0.0,0.12090000000000001,0.76140916,0.009754657745361328
agm2000000054,Be,4,129,0.5973997,0.5973997,0.0,0.0018000000000000002,0.81719774,0.02095794677734375
agm2000000056,Be,4,191,0.7852146,0.7852146,0.0,0.0012000000000000001,1.3542543999999999,0.0006775856018066406
agm2000000058,Be,2,191,2.103947,2.103947,0.0,0.21910000000000002,1.4550406,0.031233787536621094
agm2000000059,Be,1,123,1.133504,1.133504,0.0,0.3275,0.4415916,0.03457832336425781
agm2000000060,Br,4,55,0.0496512,0.0496512,1.3624,1.3659,-0.0002,2.3644752502441406
agm2000000061,Br,8,2,0.02316731,0.02316731,1.885,1.9611,0.0,2.28000545501709
agm2000000062,Br,4,11,0.0050222385,0.0050222385,1.6038999999999999,1.6745999999999999,0.0,2.1755757331848145
agm2000000063,Br,4,2,0.06710364,0.06710364,0.38020000000000004,0.38020000000000004,0.4125744,0.8977756500244141
agm2000000064,Br,4,51,0.01086429,0.01086429,1.6103,1.6907,0.0,2.178523063659668
agm2000000065,Br,4,7,0.06542182,0.06542182,0.36460000000000004,0.4127,0.3788876,1.162947177886963
agm2000000066,Br,4,2,0.063651815,0.063651815,0.30010000000000003,0.30010000000000003,0.3718898,0.8836913108825684
agm2000000067,Br,8,83,0.019867826,0.019867826,1.7792,1.8574000000000002,0.0,2.0245227813720703
agm2000000068,Br,4,83,0.025863089000000002,0.025863089000000002,1.9005,1.9663,0.0,2.284392833709717
agm2000000069,Br,4,63,0.0039783684000000005,0.0039783684000000005,1.4969000000000001,1.595,0.0,2.189624309539795
agm2000000070,Ca,8,51,0.36932272,0.36932272,0.0,0.08220000000000001,8.9820175,0.0005664825439453125
agm2000000071,Ca,4,129,0.4244848,0.4244848,0.0,0.3063,4.759639,0.015207052230834961
agm2000000074,Ca,4,67,0.38770685,0.38770685,0.0,0.076,4.5855565,0.04168081283569336
agm2000000075,Ca,2,191,1.3076091,1.3076091,0.0,0.0262,2.1943092,0.030848264694213867
