hull_bin,hull_lo,hull_hi,subset,N,MAE,ME,med_abs_err
on-hull,0.0,0.001,all,43095,1.0476159634155116,0.3409089518033887,0.02593083679676056
on-hull,0.0,0.001,metals,23306,0.05521526295184219,0.0546794316850502,0.0036029955372214317
on-hull,0.0,0.001,non-metals,19789,2.216391077115359,0.678008613023157,1.8048105667114256
near-hull,0.001,0.1,all,410332,0.4830042237869789,0.11465918910336621,0.0053920745849609375
near-hull,0.001,0.1,metals,306315,0.03766156229751868,0.03725992783242672,0.00311279296875
near-hull,0.001,0.1,non-metals,104017,1.7944738619628922,0.3425888036491408,1.4506126274108886
off-hull,0.1,0.5,all,807726,0.14552309834246083,0.06942140745991499,0.005051225423812866
off-hull,0.1,0.5,metals,744309,0.043374191049415374,0.04315492827245593,0.004387855529785156
off-hull,0.1,0.5,non-metals,63417,1.3444185213107398,0.3777043104281796,0.8856235597610475
far-off,0.5,1000000000.0,all,877294,0.09112921240964965,0.08045147890584373,0.00522613525390625
far-off,0.5,1000000000.0,metals,863745,0.07760479253961446,0.07752604747343365,0.0050961971282958984
far-off,0.5,1000000000.0,non-metals,13549,0.953307235927514,0.2669469230409853,0.4641136569976805
