dataset,kind,N,frac_sk_metal,sk_mean_eV,sk_median_eV,ref_mean_eV,MAE_eV,RMSE_eV,pearson_r
v03_alex,crystal,31211,0.6219602063375093,1.5439279995726658,0.0061368942260742,1.2154368652077794,0.9299335575968364,1.6487343277805948,0.8070043344166381
v04_cccbdb,molecule,1320,0.0,7.444508169696969,6.307685,6.724905311363637,2.5187908113636364,3.5157787175542667,0.6482410962152999
v05_interface,interface,433,0.16859122401847576,1.4315823163972285,1.412032,0.4288778290993071,1.0130126581986143,1.259259106461364,0.730251372912699
v06_surface,surface,466,0.3283261802575107,1.673459227467811,1.1758000000000002,0.7725251072961373,0.9731753218884119,1.5948623950827003,0.7462632404670159
v07_vacancy,defect,444,0.9121621621621622,0.15654656981981982,0.0014694999999999999,,,,
v08_supercon,supercon,4827,0.9726538222498446,0.01861056059664388,0.003531,,,,
v09_1d,low_dim,8636,0.3207503473830477,1.8692066597270436,0.30787956714630127,1.0878521421954608,0.9886618526941761,1.7005895666508413,0.8785944739318364
v10_2d,low_dim,79903,0.5922305795777381,1.1612447130585795,0.0170998573303222,0.6713137128768631,0.621402700309737,1.327726299360971,0.8903782104063538
v11_alexwz,crystal,40807,0.7139951478912931,1.3517986190448372,0.005845069885253906,1.0078269071482835,1.039221405937055,2.028825765103623,0.7118889149230404
v12_all,crystal,2138447,0.9069123527494486,0.23788144216729248,0.004631757736206055,0.14978345275800614,0.20614445927433495,0.8273304343433213,0.6712995747987729
